dataset,subject,Original,EA,EA+TENT,EA+AdaBN,EA+Snapshot+AdaBN,EA+SupCon,EA+SupCon+AdaBN,EA+SupCon+CORAL,original_illiterate,Original_pass70,Original_delta_original,Original_delta_ea,EA_pass70,EA_delta_original,EA_delta_ea,EA+TENT_pass70,EA+TENT_delta_original,EA+TENT_delta_ea,EA+AdaBN_pass70,EA+AdaBN_delta_original,EA+AdaBN_delta_ea,EA+Snapshot+AdaBN_pass70,EA+Snapshot+AdaBN_delta_original,EA+Snapshot+AdaBN_delta_ea,EA+SupCon_pass70,EA+SupCon_delta_original,EA+SupCon_delta_ea,EA+SupCon+AdaBN_pass70,EA+SupCon+AdaBN_delta_original,EA+SupCon+AdaBN_delta_ea,EA+SupCon+CORAL_pass70,EA+SupCon+CORAL_delta_original,EA+SupCon+CORAL_delta_ea,any_combined_pass70,all_combined_fail70,n_combined_pass70,best_combined_acc,best_combined_method,best_combined_delta_original,best_combined_delta_ea
cho2017,1,67.5,68.5,68.0,68.0,64.0,68.0,66.0,68.0,True,False,0.0,-1.0,False,1.0,0.0,False,0.5,-0.5,False,0.5,-0.5,False,-3.5,-4.5,False,0.5,-0.5,False,-1.5,-2.5,False,0.5,-0.5,False,True,0,68.0,EA+SupCon,0.5,-0.5
cho2017,2,53.5,58.5,56.0,58.0,58.0,56.5,55.0,58.5,True,False,0.0,-5.0,False,5.0,0.0,False,2.5,-2.5,False,4.5,-0.5,False,4.5,-0.5,False,3.0,-2.0,False,1.5,-3.5,False,5.0,0.0,False,True,0,58.5,EA+SupCon+CORAL,5.0,0.0
cho2017,3,90.5,93.5,93.5,92.0,92.0,91.5,92.0,94.0,False,True,0.0,-3.0,True,3.0,0.0,True,3.0,0.0,True,1.5,-1.5,True,1.5,-1.5,True,1.0,-2.0,True,1.5,-1.5,True,3.5,0.5,True,False,4,94.0,EA+SupCon+CORAL,3.5,0.5
cho2017,4,84.0,95.0,90.5,89.0,93.5,93.0,93.0,91.0,False,True,0.0,-11.0,True,11.0,0.0,True,6.5,-4.5,True,5.0,-6.0,True,9.5,-1.5,True,9.0,-2.0,True,9.0,-2.0,True,7.0,-4.0,True,False,4,93.5,EA+Snapshot+AdaBN,9.5,-1.5
cho2017,5,61.0,72.0,74.0,69.5,69.0,72.0,71.0,74.5,True,False,0.0,-11.0,True,11.0,0.0,True,13.0,2.0,False,8.5,-2.5,False,8.0,-3.0,True,11.0,0.0,True,10.0,-1.0,True,13.5,2.5,True,False,3,74.5,EA+SupCon+CORAL,13.5,2.5
cho2017,6,61.0,67.5,62.0,58.5,58.5,66.0,67.0,67.0,True,False,0.0,-6.5,False,6.5,0.0,False,1.0,-5.5,False,-2.5,-9.0,False,-2.5,-9.0,False,5.0,-1.5,False,6.0,-0.5,False,6.0,-0.5,False,True,0,67.0,EA+SupCon+AdaBN,6.0,-0.5
cho2017,7,64.1667,62.5,64.1667,62.9167,63.75,62.9167,62.9167,65.4167,True,False,0.0,1.6667000000000058,False,-1.6667000000000058,0.0,False,0.0,1.6667000000000058,False,-1.250000000000007,0.41669999999999874,False,-0.41670000000000584,1.25,False,-1.250000000000007,0.41669999999999874,False,-1.250000000000007,0.41669999999999874,False,1.25,2.916700000000006,False,True,0,65.4167,EA+SupCon+CORAL,1.25,2.916700000000006
cho2017,8,55.5,54.5,55.5,58.0,54.0,55.5,58.5,58.0,True,False,0.0,1.0,False,-1.0,0.0,False,0.0,1.0,False,2.5,3.5,False,-1.5,-0.5,False,0.0,1.0,False,3.0,4.0,False,2.5,3.5,False,True,0,58.5,EA+SupCon+AdaBN,3.0,4.0
cho2017,9,69.5833,74.5833,72.5,73.3333,72.9167,74.1667,71.6667,72.9167,True,False,0.0,-5.0,True,5.0,0.0,True,2.916700000000006,-2.083299999999994,True,3.75,-1.25,True,3.3334000000000117,-1.6665999999999883,True,4.583400000000012,-0.4165999999999883,True,2.0834000000000117,-2.9165999999999883,True,3.3334000000000117,-1.6665999999999883,True,False,4,74.1667,EA+SupCon,4.583400000000012,-0.4165999999999883
cho2017,10,80.0,86.5,87.5,85.5,84.0,87.5,88.0,86.5,False,True,0.0,-6.5,True,6.5,0.0,True,7.5,1.0,True,5.5,-1.0,True,4.0,-2.5,True,7.5,1.0,True,8.0,1.5,True,6.5,0.0,True,False,4,88.0,EA+SupCon+AdaBN,8.0,1.5
cho2017,11,60.5,71.0,68.0,74.5,72.0,72.5,73.0,76.0,True,False,0.0,-10.5,True,10.5,0.0,False,7.5,-3.0,True,14.0,3.5,True,11.5,1.0,True,12.0,1.5,True,12.5,2.0,True,15.5,5.0,True,False,4,76.0,EA+SupCon+CORAL,15.5,5.0
cho2017,12,55.0,71.5,74.5,73.0,73.0,72.0,74.0,72.5,True,False,0.0,-16.5,True,16.5,0.0,True,19.5,3.0,True,18.0,1.5,True,18.0,1.5,True,17.0,0.5,True,19.0,2.5,True,17.5,1.0,True,False,4,74.0,EA+SupCon+AdaBN,19.0,2.5
cho2017,13,55.5,53.0,52.0,55.0,55.0,52.5,52.0,56.5,True,False,0.0,2.5,False,-2.5,0.0,False,-3.5,-1.0,False,-0.5,2.0,False,-0.5,2.0,False,-3.0,-0.5,False,-3.5,-1.0,False,1.0,3.5,False,True,0,56.5,EA+SupCon+CORAL,1.0,3.5
cho2017,14,90.5,95.0,96.0,91.5,91.0,93.5,93.5,94.0,False,True,0.0,-4.5,True,4.5,0.0,True,5.5,1.0,True,1.0,-3.5,True,0.5,-4.0,True,3.0,-1.5,True,3.0,-1.5,True,3.5,-1.0,True,False,4,94.0,EA+SupCon+CORAL,3.5,-1.0
cho2017,15,63.5,80.0,78.0,80.5,79.0,82.0,80.5,81.0,True,False,0.0,-16.5,True,16.5,0.0,True,14.5,-2.0,True,17.0,0.5,True,15.5,-1.0,True,18.5,2.0,True,17.0,0.5,True,17.5,1.0,True,False,4,82.0,EA+SupCon,18.5,2.0
cho2017,16,62.0,63.0,68.0,67.5,65.5,69.5,68.5,64.0,True,False,0.0,-1.0,False,1.0,0.0,False,6.0,5.0,False,5.5,4.5,False,3.5,2.5,False,7.5,6.5,False,6.5,5.5,False,2.0,1.0,False,True,0,69.5,EA+SupCon,7.5,6.5
cho2017,17,48.5,55.5,55.0,53.5,55.5,59.0,56.0,58.0,True,False,0.0,-7.0,False,7.0,0.0,False,6.5,-0.5,False,5.0,-2.0,False,7.0,0.0,False,10.5,3.5,False,7.5,0.5,False,9.5,2.5,False,True,0,59.0,EA+SupCon,10.5,3.5
cho2017,18,66.0,68.5,72.0,72.5,69.0,66.5,71.0,74.0,True,False,0.0,-2.5,False,2.5,0.0,True,6.0,3.5,True,6.5,4.0,False,3.0,0.5,False,0.5,-2.0,True,5.0,2.5,True,8.0,5.5,True,False,2,74.0,EA+SupCon+CORAL,8.0,5.5
cho2017,19,58.5,76.0,72.5,73.0,74.0,72.5,72.0,71.0,True,False,0.0,-17.5,True,17.5,0.0,True,14.0,-3.5,True,14.5,-3.0,True,15.5,-2.0,True,14.0,-3.5,True,13.5,-4.0,True,12.5,-5.0,True,False,4,74.0,EA+Snapshot+AdaBN,15.5,-2.0
cho2017,20,59.0,70.5,67.5,70.0,73.5,62.5,71.5,71.0,True,False,0.0,-11.5,True,11.5,0.0,False,8.5,-3.0,True,11.0,-0.5,True,14.5,3.0,False,3.5,-8.0,True,12.5,1.0,True,12.0,0.5,True,False,3,73.5,EA+Snapshot+AdaBN,14.5,3.0
cho2017,21,73.5,84.5,85.0,83.0,85.5,83.5,84.5,83.0,False,True,0.0,-11.0,True,11.0,0.0,True,11.5,0.5,True,9.5,-1.5,True,12.0,1.0,True,10.0,-1.0,True,11.0,0.0,True,9.5,-1.5,True,False,4,85.5,EA+Snapshot+AdaBN,12.0,1.0
cho2017,22,73.0,74.0,72.5,70.5,71.5,71.5,75.5,76.0,False,True,0.0,-1.0,True,1.0,0.0,True,-0.5,-1.5,True,-2.5,-3.5,True,-1.5,-2.5,True,-1.5,-2.5,True,2.5,1.5,True,3.0,2.0,True,False,4,76.0,EA+SupCon+CORAL,3.0,2.0
cho2017,23,84.0,89.5,90.0,87.5,83.5,86.5,90.0,90.0,False,True,0.0,-5.5,True,5.5,0.0,True,6.0,0.5,True,3.5,-2.0,True,-0.5,-6.0,True,2.5,-3.0,True,6.0,0.5,True,6.0,0.5,True,False,4,90.0,EA+SupCon+AdaBN,6.0,0.5
cho2017,24,76.0,70.5,76.0,71.0,72.0,74.0,74.0,68.0,False,True,0.0,5.5,True,-5.5,0.0,True,0.0,5.5,True,-5.0,0.5,True,-4.0,1.5,True,-2.0,3.5,True,-2.0,3.5,False,-8.0,-2.5,True,False,3,74.0,EA+SupCon,-2.0,3.5
cho2017,25,75.0,79.5,79.5,83.5,79.5,76.0,79.0,76.5,False,True,0.0,-4.5,True,4.5,0.0,True,4.5,0.0,True,8.5,4.0,True,4.5,0.0,True,1.0,-3.5,True,4.0,-0.5,True,1.5,-3.0,True,False,4,79.5,EA+Snapshot+AdaBN,4.5,0.0
cho2017,26,68.5,72.0,73.0,73.0,71.5,73.0,79.5,71.0,True,False,0.0,-3.5,True,3.5,0.0,True,4.5,1.0,True,4.5,1.0,True,3.0,-0.5,True,4.5,1.0,True,11.0,7.5,True,2.5,-1.0,True,False,4,79.5,EA+SupCon+AdaBN,11.0,7.5
cho2017,27,50.5,58.0,54.0,53.5,62.5,57.5,56.0,60.0,True,False,0.0,-7.5,False,7.5,0.0,False,3.5,-4.0,False,3.0,-4.5,False,12.0,4.5,False,7.0,-0.5,False,5.5,-2.0,False,9.5,2.0,False,True,0,62.5,EA+Snapshot+AdaBN,12.0,4.5
cho2017,28,49.5,49.5,50.5,48.0,45.5,49.5,49.0,48.0,True,False,0.0,0.0,False,0.0,0.0,False,1.0,1.0,False,-1.5,-1.5,False,-4.0,-4.0,False,0.0,0.0,False,-0.5,-0.5,False,-1.5,-1.5,False,True,0,49.5,EA+SupCon,0.0,0.0
cho2017,29,60.0,56.0,59.0,54.5,55.5,54.5,58.5,53.5,True,False,0.0,4.0,False,-4.0,0.0,False,-1.0,3.0,False,-5.5,-1.5,False,-4.5,-0.5,False,-5.5,-1.5,False,-1.5,2.5,False,-6.5,-2.5,False,True,0,58.5,EA+SupCon+AdaBN,-1.5,2.5
cho2017,30,60.5,63.5,70.5,72.0,75.5,71.0,74.0,68.5,True,False,0.0,-3.0,False,3.0,0.0,True,10.0,7.0,True,11.5,8.5,True,15.0,12.0,True,10.5,7.5,True,13.5,10.5,False,8.0,5.0,True,False,3,75.5,EA+Snapshot+AdaBN,15.0,12.0
cho2017,31,61.0,66.0,69.5,69.5,70.0,70.0,72.0,69.5,True,False,0.0,-5.0,False,5.0,0.0,False,8.5,3.5,False,8.5,3.5,True,9.0,4.0,True,9.0,4.0,True,11.0,6.0,False,8.5,3.5,True,False,3,72.0,EA+SupCon+AdaBN,11.0,6.0
cho2017,32,57.0,54.0,52.0,52.5,55.5,53.5,53.0,54.0,True,False,0.0,3.0,False,-3.0,0.0,False,-5.0,-2.0,False,-4.5,-1.5,False,-1.5,1.5,False,-3.5,-0.5,False,-4.0,-1.0,False,-3.0,0.0,False,True,0,55.5,EA+Snapshot+AdaBN,-1.5,1.5
cho2017,33,67.0,67.5,69.5,66.0,68.5,68.0,67.5,64.0,True,False,0.0,-0.5,False,0.5,0.0,False,2.5,2.0,False,-1.0,-1.5,False,1.5,1.0,False,1.0,0.5,False,0.5,0.0,False,-3.0,-3.5,False,True,0,68.5,EA+Snapshot+AdaBN,1.5,1.0
cho2017,34,53.0,52.0,52.5,53.5,54.5,57.0,52.0,53.5,True,False,0.0,1.0,False,-1.0,0.0,False,-0.5,0.5,False,0.5,1.5,False,1.5,2.5,False,4.0,5.0,False,-1.0,0.0,False,0.5,1.5,False,True,0,57.0,EA+SupCon,4.0,5.0
cho2017,35,58.0,57.5,59.0,54.5,58.0,56.5,56.0,55.0,True,False,0.0,0.5,False,-0.5,0.0,False,1.0,1.5,False,-3.5,-3.0,False,0.0,0.5,False,-1.5,-1.0,False,-2.0,-1.5,False,-3.0,-2.5,False,True,0,58.0,EA+Snapshot+AdaBN,0.0,0.5
cho2017,36,67.5,71.5,69.0,73.5,68.5,72.5,72.5,69.5,True,False,0.0,-4.0,True,4.0,0.0,False,1.5,-2.5,True,6.0,2.0,False,1.0,-3.0,True,5.0,1.0,True,5.0,1.0,False,2.0,-2.0,True,False,2,72.5,EA+SupCon,5.0,1.0
cho2017,37,50.5,57.0,54.5,54.0,51.0,49.5,52.5,55.0,True,False,0.0,-6.5,False,6.5,0.0,False,4.0,-2.5,False,3.5,-3.0,False,0.5,-6.0,False,-1.0,-7.5,False,2.0,-4.5,False,4.5,-2.0,False,True,0,55.0,EA+SupCon+CORAL,4.5,-2.0
cho2017,38,52.5,69.5,68.0,71.0,70.0,69.0,67.0,66.5,True,False,0.0,-17.0,False,17.0,0.0,False,15.5,-1.5,True,18.5,1.5,True,17.5,0.5,False,16.5,-0.5,False,14.5,-2.5,False,14.0,-3.0,True,False,1,70.0,EA+Snapshot+AdaBN,17.5,0.5
cho2017,39,50.5,79.5,79.5,76.0,78.5,80.0,75.5,78.0,True,False,0.0,-29.0,True,29.0,0.0,True,29.0,0.0,True,25.5,-3.5,True,28.0,-1.0,True,29.5,0.5,True,25.0,-4.0,True,27.5,-1.5,True,False,4,80.0,EA+SupCon,29.5,0.5
cho2017,40,52.0,54.0,52.0,50.0,53.0,53.0,51.0,52.0,True,False,0.0,-2.0,False,2.0,0.0,False,0.0,-2.0,False,-2.0,-4.0,False,1.0,-1.0,False,1.0,-1.0,False,-1.0,-3.0,False,0.0,-2.0,False,True,0,53.0,EA+Snapshot+AdaBN,1.0,-1.0
cho2017,41,90.5,96.5,95.0,96.0,92.5,96.0,97.5,96.5,False,True,0.0,-6.0,True,6.0,0.0,True,4.5,-1.5,True,5.5,-0.5,True,2.0,-4.0,True,5.5,-0.5,True,7.0,1.0,True,6.0,0.0,True,False,4,97.5,EA+SupCon+AdaBN,7.0,1.0
cho2017,42,70.5,67.5,69.0,70.0,67.0,66.0,73.5,68.5,False,True,0.0,3.0,False,-3.0,0.0,False,-1.5,1.5,True,-0.5,2.5,False,-3.5,-0.5,False,-4.5,-1.5,True,3.0,6.0,False,-2.0,1.0,True,False,1,73.5,EA+SupCon+AdaBN,3.0,6.0
cho2017,43,96.5,97.0,97.5,96.0,96.5,97.5,96.5,97.5,False,True,0.0,-0.5,True,0.5,0.0,True,1.0,0.5,True,-0.5,-1.0,True,0.0,-0.5,True,1.0,0.5,True,0.0,-0.5,True,1.0,0.5,True,False,4,97.5,EA+SupCon,1.0,0.5
cho2017,44,72.5,80.0,81.5,79.5,75.0,78.0,79.0,78.0,False,True,0.0,-7.5,True,7.5,0.0,True,9.0,1.5,True,7.0,-0.5,True,2.5,-5.0,True,5.5,-2.0,True,6.5,-1.0,True,5.5,-2.0,True,False,4,79.0,EA+SupCon+AdaBN,6.5,-1.0
cho2017,45,65.0,68.5,70.5,67.5,65.5,71.0,68.0,68.5,True,False,0.0,-3.5,False,3.5,0.0,True,5.5,2.0,False,2.5,-1.0,False,0.5,-3.0,True,6.0,2.5,False,3.0,-0.5,False,3.5,0.0,True,False,1,71.0,EA+SupCon,6.0,2.5
cho2017,46,62.5,81.25,81.6667,79.5833,82.5,75.0,84.5833,79.5833,True,False,0.0,-18.75,True,18.75,0.0,True,19.166700000000006,0.41670000000000584,True,17.083299999999994,-1.6667000000000058,True,20.0,1.25,True,12.5,-6.25,True,22.083299999999994,3.333299999999994,True,17.083299999999994,-1.6667000000000058,True,False,4,84.5833,EA+SupCon+AdaBN,22.083299999999994,3.333299999999994
cho2017,47,66.0,74.0,76.5,78.0,70.5,74.0,76.0,75.0,True,False,0.0,-8.0,True,8.0,0.0,True,10.5,2.5,True,12.0,4.0,True,4.5,-3.5,True,8.0,0.0,True,10.0,2.0,True,9.0,1.0,True,False,4,76.0,EA+SupCon+AdaBN,10.0,2.0
cho2017,48,90.0,95.5,95.5,94.5,94.5,95.0,94.0,95.0,False,True,0.0,-5.5,True,5.5,0.0,True,5.5,0.0,True,4.5,-1.0,True,4.5,-1.0,True,5.0,-0.5,True,4.0,-1.5,True,5.0,-0.5,True,False,4,95.0,EA+SupCon,5.0,-0.5
cho2017,49,67.5,73.5,68.0,73.0,70.5,78.0,68.5,76.0,True,False,0.0,-6.0,True,6.0,0.0,False,0.5,-5.5,True,5.5,-0.5,True,3.0,-3.0,True,10.5,4.5,False,1.0,-5.0,True,8.5,2.5,True,False,3,78.0,EA+SupCon,10.5,4.5
