dataset,subject,backbone,method,acc
cho2017,29,CSPNet,AdaBN,54.5
cho2017,30,CSPNet,AdaBN,72.0
cho2017,31,CSPNet,AdaBN,69.5
cho2017,32,CSPNet,AdaBN,52.5
cho2017,33,CSPNet,AdaBN,66.0
cho2017,34,CSPNet,AdaBN,53.5
cho2017,35,CSPNet,AdaBN,54.5
cho2017,36,CSPNet,AdaBN,73.5
cho2017,37,CSPNet,AdaBN,54.0
cho2017,38,CSPNet,AdaBN,71.0
cho2017,39,CSPNet,AdaBN,76.0
cho2017,40,CSPNet,AdaBN,50.0
cho2017,41,CSPNet,AdaBN,96.0
cho2017,42,CSPNet,AdaBN,70.0
cho2017,43,CSPNet,AdaBN,96.0
cho2017,44,CSPNet,AdaBN,79.5
cho2017,45,CSPNet,AdaBN,67.5
cho2017,46,CSPNet,AdaBN,79.5833
cho2017,47,CSPNet,AdaBN,78.0
cho2017,48,CSPNet,AdaBN,94.5
cho2017,49,CSPNet,AdaBN,73.0
cho2017,50,CSPNet,AdaBN,68.5
cho2017,51,CSPNet,AdaBN,66.5
cho2017,52,CSPNet,AdaBN,82.5
lee2019,1,CSPNet,AdaBN,90.0
lee2019,2,CSPNet,AdaBN,80.0
lee2019,3,CSPNet,AdaBN,88.0
lee2019,4,CSPNet,AdaBN,61.5
lee2019,5,CSPNet,AdaBN,94.5
lee2019,6,CSPNet,AdaBN,70.0
lee2019,7,CSPNet,AdaBN,60.5
lee2019,8,CSPNet,AdaBN,76.0
lee2019,9,CSPNet,AdaBN,82.0
lee2019,10,CSPNet,AdaBN,67.5
lee2019,11,CSPNet,AdaBN,52.0
lee2019,12,CSPNet,AdaBN,66.5
lee2019,13,CSPNet,AdaBN,62.5
lee2019,14,CSPNet,AdaBN,81.5
lee2019,15,CSPNet,AdaBN,59.5
lee2019,16,CSPNet,AdaBN,60.5
lee2019,17,CSPNet,AdaBN,69.0
lee2019,18,CSPNet,AdaBN,87.0
lee2019,19,CSPNet,AdaBN,82.0
lee2019,20,CSPNet,AdaBN,77.5
lee2019,21,CSPNet,AdaBN,94.0
lee2019,22,CSPNet,AdaBN,78.0
lee2019,23,CSPNet,AdaBN,82.0
lee2019,24,CSPNet,AdaBN,56.0
lee2019,25,CSPNet,AdaBN,57.5
lee2019,26,CSPNet,AdaBN,61.5
lee2019,27,CSPNet,AdaBN,53.5
lee2019,28,CSPNet,AdaBN,89.5
lee2019,29,CSPNet,AdaBN,65.0
lee2019,30,CSPNet,AdaBN,73.5
lee2019,31,CSPNet,AdaBN,68.0
lee2019,32,CSPNet,AdaBN,93.0
lee2019,33,CSPNet,AdaBN,94.0
lee2019,34,CSPNet,AdaBN,48.0
lee2019,35,CSPNet,AdaBN,52.0
lee2019,36,CSPNet,AdaBN,94.0
lee2019,37,CSPNet,AdaBN,97.0
lee2019,38,CSPNet,AdaBN,58.0
lee2019,39,CSPNet,AdaBN,87.0
lee2019,40,CSPNet,AdaBN,61.0
lee2019,41,CSPNet,AdaBN,59.5
lee2019,42,CSPNet,AdaBN,69.5
lee2019,43,CSPNet,AdaBN,75.5
lee2019,44,CSPNet,AdaBN,92.5
lee2019,45,CSPNet,AdaBN,77.0
lee2019,46,CSPNet,AdaBN,76.5
lee2019,47,CSPNet,AdaBN,79.0
lee2019,48,CSPNet,AdaBN,58.0
lee2019,49,CSPNet,AdaBN,73.5
lee2019,50,CSPNet,AdaBN,55.0
lee2019,51,CSPNet,AdaBN,63.0
lee2019,52,CSPNet,AdaBN,65.5
lee2019,53,CSPNet,AdaBN,61.0
lee2019,54,CSPNet,AdaBN,64.0
cho2017,1,Conformer,AdaBN,64.5
cho2017,2,Conformer,AdaBN,59.0
cho2017,3,Conformer,AdaBN,91.0
cho2017,4,Conformer,AdaBN,87.0
cho2017,5,Conformer,AdaBN,66.5
cho2017,6,Conformer,AdaBN,67.5
cho2017,7,Conformer,AdaBN,60.8
cho2017,8,Conformer,AdaBN,60.5
cho2017,9,Conformer,AdaBN,71.7
cho2017,10,Conformer,AdaBN,86.5
cho2017,11,Conformer,AdaBN,66.5
cho2017,12,Conformer,AdaBN,75.0
cho2017,13,Conformer,AdaBN,50.5
cho2017,14,Conformer,AdaBN,95.0
cho2017,15,Conformer,AdaBN,81.0
cho2017,16,Conformer,AdaBN,63.5
cho2017,17,Conformer,AdaBN,53.0
cho2017,18,Conformer,AdaBN,71.0
cho2017,19,Conformer,AdaBN,70.5
cho2017,20,Conformer,AdaBN,69.0
cho2017,21,Conformer,AdaBN,84.0
cho2017,22,Conformer,AdaBN,74.5
cho2017,23,Conformer,AdaBN,86.5
cho2017,24,Conformer,AdaBN,76.5
cho2017,25,Conformer,AdaBN,81.0
cho2017,26,Conformer,AdaBN,76.5
cho2017,27,Conformer,AdaBN,61.0
cho2017,28,Conformer,AdaBN,50.0
cho2017,29,Conformer,AdaBN,61.5
cho2017,30,Conformer,AdaBN,61.5
cho2017,31,Conformer,AdaBN,72.0
cho2017,32,Conformer,AdaBN,55.0
cho2017,33,Conformer,AdaBN,65.5
cho2017,34,Conformer,AdaBN,51.0
cho2017,35,Conformer,AdaBN,61.0
cho2017,36,Conformer,AdaBN,70.0
cho2017,37,Conformer,AdaBN,52.5
cho2017,38,Conformer,AdaBN,67.0
cho2017,39,Conformer,AdaBN,73.5
cho2017,40,Conformer,AdaBN,52.0
cho2017,41,Conformer,AdaBN,94.0
cho2017,42,Conformer,AdaBN,65.5
cho2017,43,Conformer,AdaBN,97.5
cho2017,44,Conformer,AdaBN,71.5
cho2017,45,Conformer,AdaBN,71.5
cho2017,46,Conformer,AdaBN,82.5
cho2017,47,Conformer,AdaBN,72.0
cho2017,48,Conformer,AdaBN,88.5
cho2017,49,Conformer,AdaBN,72.0
cho2017,50,Conformer,AdaBN,67.5
cho2017,51,Conformer,AdaBN,65.0
cho2017,52,Conformer,AdaBN,74.0
lee2019,1,Conformer,AdaBN,80.5
lee2019,2,Conformer,AdaBN,75.0
lee2019,3,Conformer,AdaBN,90.5
lee2019,4,Conformer,AdaBN,60.5
lee2019,5,Conformer,AdaBN,88.5
lee2019,6,Conformer,AdaBN,67.5
lee2019,7,Conformer,AdaBN,65.0
lee2019,8,Conformer,AdaBN,70.5
lee2019,9,Conformer,AdaBN,84.5
lee2019,10,Conformer,AdaBN,72.5
lee2019,11,Conformer,AdaBN,53.5
lee2019,12,Conformer,AdaBN,67.0
lee2019,13,Conformer,AdaBN,66.0
lee2019,14,Conformer,AdaBN,81.0
lee2019,15,Conformer,AdaBN,60.0
lee2019,16,Conformer,AdaBN,62.0
lee2019,17,Conformer,AdaBN,68.0
lee2019,18,Conformer,AdaBN,91.5
lee2019,19,Conformer,AdaBN,80.0
lee2019,20,Conformer,AdaBN,70.0
lee2019,21,Conformer,AdaBN,93.0
lee2019,22,Conformer,AdaBN,76.5
lee2019,23,Conformer,AdaBN,81.0
lee2019,24,Conformer,AdaBN,55.5
lee2019,25,Conformer,AdaBN,59.0
lee2019,26,Conformer,AdaBN,63.0
lee2019,27,Conformer,AdaBN,52.0
lee2019,28,Conformer,AdaBN,88.0
lee2019,29,Conformer,AdaBN,62.0
lee2019,30,Conformer,AdaBN,71.0
lee2019,31,Conformer,AdaBN,71.0
lee2019,32,Conformer,AdaBN,91.5
lee2019,33,Conformer,AdaBN,94.0
lee2019,34,Conformer,AdaBN,57.0
lee2019,35,Conformer,AdaBN,56.5
lee2019,36,Conformer,AdaBN,96.0
lee2019,37,Conformer,AdaBN,97.0
lee2019,38,Conformer,AdaBN,61.5
lee2019,39,Conformer,AdaBN,85.5
lee2019,40,Conformer,AdaBN,64.0
lee2019,41,Conformer,AdaBN,58.5
lee2019,42,Conformer,AdaBN,70.0
lee2019,43,Conformer,AdaBN,71.5
lee2019,44,Conformer,AdaBN,91.0
lee2019,45,Conformer,AdaBN,81.0
lee2019,46,Conformer,AdaBN,75.5
lee2019,47,Conformer,AdaBN,72.0
lee2019,48,Conformer,AdaBN,57.0
lee2019,49,Conformer,AdaBN,75.5
lee2019,50,Conformer,AdaBN,57.0
lee2019,51,Conformer,AdaBN,63.5
lee2019,52,Conformer,AdaBN,71.5
lee2019,53,Conformer,AdaBN,66.0
lee2019,54,Conformer,AdaBN,65.0
cho2017,1,EEGNet,Snapshot,63.5
cho2017,2,EEGNet,Snapshot,60.0
cho2017,3,EEGNet,Snapshot,91.5
cho2017,4,EEGNet,Snapshot,93.5
cho2017,5,EEGNet,Snapshot,65.5
cho2017,6,EEGNet,Snapshot,62.5
cho2017,7,EEGNet,Snapshot,59.2
cho2017,8,EEGNet,Snapshot,56.0
cho2017,9,EEGNet,Snapshot,65.8
cho2017,10,EEGNet,Snapshot,82.5
cho2017,11,EEGNet,Snapshot,68.5
cho2017,12,EEGNet,Snapshot,71.0
cho2017,13,EEGNet,Snapshot,51.0
cho2017,14,EEGNet,Snapshot,90.5
cho2017,15,EEGNet,Snapshot,79.5
cho2017,16,EEGNet,Snapshot,58.5
cho2017,17,EEGNet,Snapshot,53.0
cho2017,18,EEGNet,Snapshot,70.5
cho2017,19,EEGNet,Snapshot,68.0
cho2017,20,EEGNet,Snapshot,62.0
cho2017,21,EEGNet,Snapshot,81.0
cho2017,22,EEGNet,Snapshot,78.0
cho2017,23,EEGNet,Snapshot,89.0
cho2017,24,EEGNet,Snapshot,72.5
cho2017,25,EEGNet,Snapshot,80.5
cho2017,26,EEGNet,Snapshot,68.0
cho2017,27,EEGNet,Snapshot,53.5
cho2017,28,EEGNet,Snapshot,48.0
cho2017,29,EEGNet,Snapshot,58.5
cho2017,30,EEGNet,Snapshot,61.0
cho2017,31,EEGNet,Snapshot,74.0
cho2017,32,EEGNet,Snapshot,51.5
cho2017,33,EEGNet,Snapshot,65.0
cho2017,34,EEGNet,Snapshot,51.5
cho2017,35,EEGNet,Snapshot,61.0
cho2017,36,EEGNet,Snapshot,68.5
cho2017,37,EEGNet,Snapshot,47.5
cho2017,38,EEGNet,Snapshot,60.5
cho2017,39,EEGNet,Snapshot,72.5
cho2017,40,EEGNet,Snapshot,54.0
cho2017,41,EEGNet,Snapshot,95.5
cho2017,42,EEGNet,Snapshot,71.0
cho2017,43,EEGNet,Snapshot,97.0
cho2017,44,EEGNet,Snapshot,78.0
cho2017,45,EEGNet,Snapshot,63.0
cho2017,46,EEGNet,Snapshot,79.2
cho2017,47,EEGNet,Snapshot,74.0
cho2017,48,EEGNet,Snapshot,95.0
cho2017,49,EEGNet,Snapshot,69.5
cho2017,50,EEGNet,Snapshot,65.5
cho2017,51,EEGNet,Snapshot,65.0
cho2017,52,EEGNet,Snapshot,71.0
lee2019,1,EEGNet,Snapshot,86.5
lee2019,2,EEGNet,Snapshot,80.5
lee2019,3,EEGNet,Snapshot,83.5
lee2019,4,EEGNet,Snapshot,55.0
lee2019,5,EEGNet,Snapshot,89.5
lee2019,6,EEGNet,Snapshot,71.5
lee2019,7,EEGNet,Snapshot,59.5
lee2019,8,EEGNet,Snapshot,79.0
lee2019,9,EEGNet,Snapshot,85.5
lee2019,10,EEGNet,Snapshot,65.5
lee2019,11,EEGNet,Snapshot,58.0
lee2019,12,EEGNet,Snapshot,70.5
lee2019,13,EEGNet,Snapshot,57.0
lee2019,14,EEGNet,Snapshot,78.5
lee2019,15,EEGNet,Snapshot,52.0
lee2019,16,EEGNet,Snapshot,60.5
lee2019,17,EEGNet,Snapshot,71.5
lee2019,18,EEGNet,Snapshot,90.5
lee2019,19,EEGNet,Snapshot,84.5
lee2019,20,EEGNet,Snapshot,69.5
lee2019,21,EEGNet,Snapshot,87.0
lee2019,22,EEGNet,Snapshot,73.5
lee2019,23,EEGNet,Snapshot,77.5
lee2019,24,EEGNet,Snapshot,57.5
lee2019,25,EEGNet,Snapshot,63.0
lee2019,26,EEGNet,Snapshot,61.0
lee2019,27,EEGNet,Snapshot,55.0
lee2019,28,EEGNet,Snapshot,92.5
lee2019,29,EEGNet,Snapshot,67.5
lee2019,30,EEGNet,Snapshot,70.5
lee2019,31,EEGNet,Snapshot,64.5
lee2019,32,EEGNet,Snapshot,95.5
lee2019,33,EEGNet,Snapshot,88.0
lee2019,34,EEGNet,Snapshot,46.5
lee2019,35,EEGNet,Snapshot,54.5
lee2019,36,EEGNet,Snapshot,95.0
lee2019,37,EEGNet,Snapshot,97.5
lee2019,38,EEGNet,Snapshot,64.0
lee2019,39,EEGNet,Snapshot,80.5
lee2019,40,EEGNet,Snapshot,58.5
lee2019,41,EEGNet,Snapshot,51.5
lee2019,42,EEGNet,Snapshot,68.5
lee2019,43,EEGNet,Snapshot,71.0
lee2019,44,EEGNet,Snapshot,90.5
lee2019,45,EEGNet,Snapshot,76.5
lee2019,46,EEGNet,Snapshot,72.0
lee2019,47,EEGNet,Snapshot,74.5
lee2019,48,EEGNet,Snapshot,56.5
lee2019,49,EEGNet,Snapshot,66.5
lee2019,50,EEGNet,Snapshot,51.0
lee2019,51,EEGNet,Snapshot,64.5
lee2019,52,EEGNet,Snapshot,73.0
lee2019,53,EEGNet,Snapshot,60.0
lee2019,54,EEGNet,Snapshot,62.5
cho2017,1,CSPNet,Snapshot,64.0
cho2017,2,CSPNet,Snapshot,58.0
cho2017,3,CSPNet,Snapshot,92.0
cho2017,4,CSPNet,Snapshot,93.5
cho2017,5,CSPNet,Snapshot,69.0
cho2017,6,CSPNet,Snapshot,58.5
cho2017,7,CSPNet,Snapshot,63.75
cho2017,8,CSPNet,Snapshot,54.0
cho2017,9,CSPNet,Snapshot,72.9167
cho2017,10,CSPNet,Snapshot,84.0
cho2017,11,CSPNet,Snapshot,72.0
cho2017,12,CSPNet,Snapshot,73.0
cho2017,13,CSPNet,Snapshot,55.0
cho2017,14,CSPNet,Snapshot,91.0
cho2017,15,CSPNet,Snapshot,79.0
cho2017,16,CSPNet,Snapshot,65.5
cho2017,17,CSPNet,Snapshot,55.5
cho2017,18,CSPNet,Snapshot,69.0
cho2017,19,CSPNet,Snapshot,74.0
cho2017,20,CSPNet,Snapshot,73.5
cho2017,21,CSPNet,Snapshot,85.5
cho2017,22,CSPNet,Snapshot,71.5
cho2017,23,CSPNet,Snapshot,83.5
cho2017,24,CSPNet,Snapshot,72.0
cho2017,25,CSPNet,Snapshot,79.5
cho2017,26,CSPNet,Snapshot,71.5
cho2017,27,CSPNet,Snapshot,62.5
cho2017,28,CSPNet,Snapshot,45.5
cho2017,29,CSPNet,Snapshot,55.5
cho2017,30,CSPNet,Snapshot,75.5
cho2017,31,CSPNet,Snapshot,70.0
cho2017,32,CSPNet,Snapshot,55.5
cho2017,33,CSPNet,Snapshot,68.5
cho2017,34,CSPNet,Snapshot,54.5
cho2017,35,CSPNet,Snapshot,58.0
cho2017,36,CSPNet,Snapshot,68.5
cho2017,37,CSPNet,Snapshot,51.0
cho2017,38,CSPNet,Snapshot,70.0
cho2017,39,CSPNet,Snapshot,78.5
cho2017,40,CSPNet,Snapshot,53.0
cho2017,41,CSPNet,Snapshot,92.5
cho2017,42,CSPNet,Snapshot,67.0
cho2017,43,CSPNet,Snapshot,96.5
cho2017,44,CSPNet,Snapshot,75.0
cho2017,45,CSPNet,Snapshot,65.5
cho2017,46,CSPNet,Snapshot,82.5
cho2017,47,CSPNet,Snapshot,70.5
cho2017,48,CSPNet,Snapshot,94.5
cho2017,49,CSPNet,Snapshot,70.5
cho2017,50,CSPNet,Snapshot,68.5
cho2017,51,CSPNet,Snapshot,66.0
cho2017,52,CSPNet,Snapshot,76.5
lee2019,1,CSPNet,Snapshot,88.5
lee2019,2,CSPNet,Snapshot,80.5
lee2019,3,CSPNet,Snapshot,91.0
lee2019,4,CSPNet,Snapshot,62.0
lee2019,5,CSPNet,Snapshot,89.5
lee2019,6,CSPNet,Snapshot,72.5
lee2019,7,CSPNet,Snapshot,63.5
lee2019,8,CSPNet,Snapshot,78.0
lee2019,9,CSPNet,Snapshot,83.0
lee2019,10,CSPNet,Snapshot,69.0
lee2019,11,CSPNet,Snapshot,58.5
lee2019,12,CSPNet,Snapshot,68.0
lee2019,13,CSPNet,Snapshot,60.5
lee2019,14,CSPNet,Snapshot,81.5
lee2019,15,CSPNet,Snapshot,63.0
lee2019,16,CSPNet,Snapshot,62.0
lee2019,17,CSPNet,Snapshot,72.0
lee2019,18,CSPNet,Snapshot,89.0
lee2019,19,CSPNet,Snapshot,85.0
lee2019,20,CSPNet,Snapshot,73.0
lee2019,21,CSPNet,Snapshot,94.5
lee2019,22,CSPNet,Snapshot,72.5
lee2019,23,CSPNet,Snapshot,80.0
lee2019,24,CSPNet,Snapshot,58.0
lee2019,25,CSPNet,Snapshot,61.0
lee2019,26,CSPNet,Snapshot,63.0
lee2019,27,CSPNet,Snapshot,58.5
lee2019,28,CSPNet,Snapshot,91.0
lee2019,29,CSPNet,Snapshot,65.5
lee2019,30,CSPNet,Snapshot,74.0
lee2019,31,CSPNet,Snapshot,72.0
lee2019,32,CSPNet,Snapshot,93.0
lee2019,33,CSPNet,Snapshot,96.5
lee2019,34,CSPNet,Snapshot,50.0
lee2019,35,CSPNet,Snapshot,58.0
lee2019,36,CSPNet,Snapshot,95.5
lee2019,37,CSPNet,Snapshot,96.0
lee2019,38,CSPNet,Snapshot,60.5
lee2019,39,CSPNet,Snapshot,84.5
lee2019,40,CSPNet,Snapshot,65.0
lee2019,41,CSPNet,Snapshot,63.0
lee2019,42,CSPNet,Snapshot,71.0
lee2019,43,CSPNet,Snapshot,77.5
lee2019,44,CSPNet,Snapshot,89.5
lee2019,45,CSPNet,Snapshot,77.5
lee2019,46,CSPNet,Snapshot,76.5
lee2019,47,CSPNet,Snapshot,78.5
lee2019,48,CSPNet,Snapshot,56.5
lee2019,49,CSPNet,Snapshot,76.0
lee2019,50,CSPNet,Snapshot,56.5
lee2019,51,CSPNet,Snapshot,66.0
lee2019,52,CSPNet,Snapshot,72.5
lee2019,53,CSPNet,Snapshot,67.0
lee2019,54,CSPNet,Snapshot,62.0
cho2017,1,Conformer,Snapshot,68.0
cho2017,2,Conformer,Snapshot,63.0
cho2017,3,Conformer,Snapshot,91.0
cho2017,4,Conformer,Snapshot,90.0
cho2017,5,Conformer,Snapshot,74.5
cho2017,6,Conformer,Snapshot,67.5
cho2017,7,Conformer,Snapshot,56.25
cho2017,8,Conformer,Snapshot,60.5
cho2017,9,Conformer,Snapshot,70.0
cho2017,10,Conformer,Snapshot,86.5
cho2017,11,Conformer,Snapshot,68.0
cho2017,12,Conformer,Snapshot,75.5
cho2017,13,Conformer,Snapshot,55.0
cho2017,14,Conformer,Snapshot,90.0
cho2017,15,Conformer,Snapshot,76.0
cho2017,16,Conformer,Snapshot,61.5
cho2017,17,Conformer,Snapshot,52.5
cho2017,18,Conformer,Snapshot,70.5
cho2017,19,Conformer,Snapshot,68.5
cho2017,20,Conformer,Snapshot,68.0
cho2017,21,Conformer,Snapshot,83.0
cho2017,22,Conformer,Snapshot,78.0
cho2017,23,Conformer,Snapshot,84.0
cho2017,24,Conformer,Snapshot,72.5
cho2017,25,Conformer,Snapshot,78.5
cho2017,26,Conformer,Snapshot,68.5
cho2017,27,Conformer,Snapshot,56.5
cho2017,28,Conformer,Snapshot,49.0
cho2017,29,Conformer,Snapshot,55.0
cho2017,30,Conformer,Snapshot,60.0
cho2017,31,Conformer,Snapshot,71.0
cho2017,32,Conformer,Snapshot,55.0
cho2017,33,Conformer,Snapshot,61.5
cho2017,34,Conformer,Snapshot,50.0
cho2017,35,Conformer,Snapshot,61.5
cho2017,36,Conformer,Snapshot,64.5
cho2017,37,Conformer,Snapshot,49.5
cho2017,38,Conformer,Snapshot,55.5
cho2017,39,Conformer,Snapshot,75.0
cho2017,40,Conformer,Snapshot,54.5
cho2017,41,Conformer,Snapshot,91.0
cho2017,42,Conformer,Snapshot,65.5
cho2017,43,Conformer,Snapshot,98.0
cho2017,44,Conformer,Snapshot,77.5
cho2017,45,Conformer,Snapshot,66.0
cho2017,46,Conformer,Snapshot,80.0
cho2017,47,Conformer,Snapshot,71.5
cho2017,48,Conformer,Snapshot,91.0
cho2017,49,Conformer,Snapshot,71.5
cho2017,50,Conformer,Snapshot,61.5
cho2017,51,Conformer,Snapshot,63.5
cho2017,52,Conformer,Snapshot,73.0
lee2019,1,Conformer,Snapshot,85.5
lee2019,2,Conformer,Snapshot,75.0
lee2019,3,Conformer,Snapshot,85.5
lee2019,4,Conformer,Snapshot,53.5
lee2019,5,Conformer,Snapshot,91.0
lee2019,6,Conformer,Snapshot,68.5
lee2019,7,Conformer,Snapshot,65.0
lee2019,8,Conformer,Snapshot,79.5
lee2019,9,Conformer,Snapshot,77.0
lee2019,10,Conformer,Snapshot,71.5
lee2019,11,Conformer,Snapshot,53.5
lee2019,12,Conformer,Snapshot,71.5
lee2019,13,Conformer,Snapshot,60.0
lee2019,14,Conformer,Snapshot,75.0
lee2019,15,Conformer,Snapshot,53.5
lee2019,16,Conformer,Snapshot,61.5
lee2019,17,Conformer,Snapshot,69.5
lee2019,18,Conformer,Snapshot,93.0
lee2019,19,Conformer,Snapshot,82.5
lee2019,20,Conformer,Snapshot,70.5
lee2019,21,Conformer,Snapshot,86.0
lee2019,22,Conformer,Snapshot,71.5
lee2019,23,Conformer,Snapshot,71.5
lee2019,24,Conformer,Snapshot,54.0
lee2019,25,Conformer,Snapshot,57.5
lee2019,26,Conformer,Snapshot,67.5
lee2019,27,Conformer,Snapshot,59.5
lee2019,28,Conformer,Snapshot,91.0
lee2019,29,Conformer,Snapshot,54.5
lee2019,30,Conformer,Snapshot,66.5
lee2019,31,Conformer,Snapshot,69.0
lee2019,32,Conformer,Snapshot,93.0
lee2019,33,Conformer,Snapshot,93.0
lee2019,34,Conformer,Snapshot,51.0
lee2019,35,Conformer,Snapshot,58.5
lee2019,36,Conformer,Snapshot,95.0
lee2019,37,Conformer,Snapshot,96.0
lee2019,38,Conformer,Snapshot,60.0
lee2019,39,Conformer,Snapshot,84.0
lee2019,40,Conformer,Snapshot,62.5
lee2019,41,Conformer,Snapshot,58.5
lee2019,42,Conformer,Snapshot,65.5
lee2019,43,Conformer,Snapshot,74.5
lee2019,44,Conformer,Snapshot,79.5
lee2019,45,Conformer,Snapshot,78.5
lee2019,46,Conformer,Snapshot,72.0
lee2019,47,Conformer,Snapshot,74.0
lee2019,48,Conformer,Snapshot,59.5
lee2019,49,Conformer,Snapshot,64.0
lee2019,50,Conformer,Snapshot,56.5
lee2019,51,Conformer,Snapshot,63.0
lee2019,52,Conformer,Snapshot,71.0
lee2019,53,Conformer,Snapshot,62.0
lee2019,54,Conformer,Snapshot,59.0
