dataset,subject,backbone,AdaBN,EA,Original,Snapshot,TENT,original_illiterate,EA_pass70,EA_delta,TENT_pass70,TENT_delta,AdaBN_pass70,AdaBN_delta,Snapshot_pass70,Snapshot_delta,any_method_pass70,all_methods_fail70,n_methods_pass70,best_adaptive_acc,best_adaptive_method,best_delta
cho2017,1,CSPNet,68.0,68.5,67.5,64.0,68.0,True,False,1.0,False,0.5,False,0.5,False,-3.5,False,True,0,68.5,EA,1.0
cho2017,1,Conformer,64.5,66.5,66.0,68.0,66.5,True,False,0.5,False,0.5,False,-1.5,False,2.0,False,True,0,68.0,Snapshot,2.0
cho2017,1,EEGNet,66.5,70.0,65.0,63.5,66.5,True,True,5.0,False,1.5,False,1.5,False,-1.5,True,False,1,70.0,EA,5.0
cho2017,2,CSPNet,58.0,58.5,53.5,58.0,56.0,True,False,5.0,False,2.5,False,4.5,False,4.5,False,True,0,58.5,EA,5.0
cho2017,2,Conformer,59.0,59.0,57.0,63.0,57.0,True,False,2.0,False,0.0,False,2.0,False,6.0,False,True,0,63.0,Snapshot,6.0
cho2017,2,EEGNet,56.0,52.5,54.0,60.0,55.0,True,False,-1.5,False,1.0,False,2.0,False,6.0,False,True,0,60.0,Snapshot,6.0
cho2017,3,CSPNet,92.0,93.5,90.5,92.0,93.5,False,True,3.0,True,3.0,True,1.5,True,1.5,True,False,4,93.5,EA,3.0
cho2017,3,Conformer,91.0,94.0,88.0,91.0,82.5,False,True,6.0,True,-5.5,True,3.0,True,3.0,True,False,4,94.0,EA,6.0
cho2017,3,EEGNet,93.5,94.5,89.5,91.5,93.0,False,True,5.0,True,3.5,True,4.0,True,2.0,True,False,4,94.5,EA,5.0
cho2017,4,CSPNet,89.0,95.0,84.0,93.5,90.5,False,True,11.0,True,6.5,True,5.0,True,9.5,True,False,4,95.0,EA,11.0
cho2017,4,Conformer,87.0,88.0,74.5,90.0,76.5,False,True,13.5,True,2.0,True,12.5,True,15.5,True,False,4,90.0,Snapshot,15.5
cho2017,4,EEGNet,91.0,89.0,90.0,93.5,90.0,False,True,-1.0,True,0.0,True,1.0,True,3.5,True,False,4,93.5,Snapshot,3.5
cho2017,5,CSPNet,69.5,72.0,61.0,69.0,74.0,True,True,11.0,True,13.0,False,8.5,False,8.0,True,False,2,74.0,TENT,13.0
cho2017,5,Conformer,66.5,69.0,56.0,74.5,53.0,True,False,13.0,False,-3.0,False,10.5,True,18.5,True,False,1,74.5,Snapshot,18.5
cho2017,5,EEGNet,68.5,70.5,63.0,65.5,66.5,True,True,7.5,False,3.5,False,5.5,False,2.5,True,False,1,70.5,EA,7.5
cho2017,6,CSPNet,58.5,67.5,61.0,58.5,62.0,True,False,6.5,False,1.0,False,-2.5,False,-2.5,False,True,0,67.5,EA,6.5
cho2017,6,Conformer,67.5,66.5,59.0,67.5,61.5,True,False,7.5,False,2.5,False,8.5,False,8.5,False,True,0,67.5,AdaBN,8.5
cho2017,6,EEGNet,61.5,66.0,57.0,62.5,63.5,True,False,9.0,False,6.5,False,4.5,False,5.5,False,True,0,66.0,EA,9.0
cho2017,7,CSPNet,62.9167,62.5,64.1667,63.75,64.1667,True,False,-1.6667000000000058,False,0.0,False,-1.250000000000007,False,-0.41670000000000584,False,True,0,64.1667,TENT,0.0
cho2017,7,Conformer,60.8,58.3333,62.5,56.25,57.9167,True,False,-4.166699999999999,False,-4.583300000000001,False,-1.7000000000000028,False,-6.25,False,True,0,60.8,AdaBN,-1.7000000000000028
cho2017,7,EEGNet,60.8333,62.0833,62.0833,59.2,61.25,True,False,0.0,False,-0.8333000000000013,False,-1.25,False,-2.8832999999999984,False,True,0,62.0833,EA,0.0
cho2017,8,CSPNet,58.0,54.5,55.5,54.0,55.5,True,False,-1.0,False,0.0,False,2.5,False,-1.5,False,True,0,58.0,AdaBN,2.5
cho2017,8,Conformer,60.5,64.0,58.0,60.5,55.0,True,False,6.0,False,-3.0,False,2.5,False,2.5,False,True,0,64.0,EA,6.0
cho2017,8,EEGNet,54.0,59.0,58.5,56.0,56.0,True,False,0.5,False,-2.5,False,-4.5,False,-2.5,False,True,0,59.0,EA,0.5
cho2017,9,CSPNet,73.3333,74.5833,69.5833,72.9167,72.5,True,True,5.0,True,2.916700000000006,True,3.75,True,3.3334000000000117,True,False,4,74.5833,EA,5.0
cho2017,9,Conformer,71.7,71.6667,67.9167,70.0,70.8333,True,True,3.75,True,2.9165999999999883,True,3.783299999999997,True,2.083299999999994,True,False,4,71.7,AdaBN,3.783299999999997
cho2017,9,EEGNet,70.4167,68.3333,74.1667,65.8,72.9167,False,False,-5.833400000000012,True,-1.25,True,-3.75,False,-8.366700000000009,True,False,2,72.9167,TENT,-1.25
cho2017,10,CSPNet,85.5,86.5,80.0,84.0,87.5,False,True,6.5,True,7.5,True,5.5,True,4.0,True,False,4,87.5,TENT,7.5
cho2017,10,Conformer,86.5,86.0,65.5,86.5,87.0,True,True,20.5,True,21.5,True,21.0,True,21.0,True,False,4,87.0,TENT,21.5
cho2017,10,EEGNet,85.5,84.5,86.0,82.5,85.0,False,True,-1.5,True,-1.0,True,-0.5,True,-3.5,True,False,4,85.5,AdaBN,-0.5
cho2017,11,CSPNet,74.5,71.0,60.5,72.0,68.0,True,True,10.5,False,7.5,True,14.0,True,11.5,True,False,3,74.5,AdaBN,14.0
cho2017,11,Conformer,66.5,71.5,61.5,68.0,63.0,True,True,10.0,False,1.5,False,5.0,False,6.5,True,False,1,71.5,EA,10.0
cho2017,11,EEGNet,67.5,74.5,63.5,68.5,75.5,True,True,11.0,True,12.0,False,4.0,False,5.0,True,False,2,75.5,TENT,12.0
cho2017,12,CSPNet,73.0,71.5,55.0,73.0,74.5,True,True,16.5,True,19.5,True,18.0,True,18.0,True,False,4,74.5,TENT,19.5
cho2017,12,Conformer,75.0,73.0,57.0,75.5,72.0,True,True,16.0,True,15.0,True,18.0,True,18.5,True,False,4,75.5,Snapshot,18.5
cho2017,12,EEGNet,69.0,68.0,61.0,71.0,69.5,True,False,7.0,False,8.5,False,8.0,True,10.0,True,False,1,71.0,Snapshot,10.0
cho2017,13,CSPNet,55.0,53.0,55.5,55.0,52.0,True,False,-2.5,False,-3.5,False,-0.5,False,-0.5,False,True,0,55.0,AdaBN,-0.5
cho2017,13,Conformer,50.5,55.0,53.5,55.0,51.0,True,False,1.5,False,-2.5,False,-3.0,False,1.5,False,True,0,55.0,EA,1.5
cho2017,13,EEGNet,59.0,48.0,48.0,51.0,49.5,True,False,0.0,False,1.5,False,11.0,False,3.0,False,True,0,59.0,AdaBN,11.0
cho2017,14,CSPNet,91.5,95.0,90.5,91.0,96.0,False,True,4.5,True,5.5,True,1.0,True,0.5,True,False,4,96.0,TENT,5.5
cho2017,14,Conformer,95.0,91.5,91.5,90.0,90.0,False,True,0.0,True,-1.5,True,3.5,True,-1.5,True,False,4,95.0,AdaBN,3.5
cho2017,14,EEGNet,88.5,90.5,84.5,90.5,91.5,False,True,6.0,True,7.0,True,4.0,True,6.0,True,False,4,91.5,TENT,7.0
cho2017,15,CSPNet,80.5,80.0,63.5,79.0,78.0,True,True,16.5,True,14.5,True,17.0,True,15.5,True,False,4,80.5,AdaBN,17.0
cho2017,15,Conformer,81.0,73.5,64.0,76.0,76.5,True,True,9.5,True,12.5,True,17.0,True,12.0,True,False,4,81.0,AdaBN,17.0
cho2017,15,EEGNet,85.0,85.0,67.0,79.5,84.5,True,True,18.0,True,17.5,True,18.0,True,12.5,True,False,4,85.0,EA,18.0
cho2017,16,CSPNet,67.5,63.0,62.0,65.5,68.0,True,False,1.0,False,6.0,False,5.5,False,3.5,False,True,0,68.0,TENT,6.0
cho2017,16,Conformer,63.5,62.5,58.5,61.5,61.5,True,False,4.0,False,3.0,False,5.0,False,3.0,False,True,0,63.5,AdaBN,5.0
cho2017,16,EEGNet,60.5,60.0,59.0,58.5,61.0,True,False,1.0,False,2.0,False,1.5,False,-0.5,False,True,0,61.0,TENT,2.0
cho2017,17,CSPNet,53.5,55.5,48.5,55.5,55.0,True,False,7.0,False,6.5,False,5.0,False,7.0,False,True,0,55.5,EA,7.0
cho2017,17,Conformer,53.0,54.0,48.5,52.5,51.0,True,False,5.5,False,2.5,False,4.5,False,4.0,False,True,0,54.0,EA,5.5
cho2017,17,EEGNet,56.0,54.5,49.5,53.0,53.0,True,False,5.0,False,3.5,False,6.5,False,3.5,False,True,0,56.0,AdaBN,6.5
cho2017,18,CSPNet,72.5,68.5,66.0,69.0,72.0,True,False,2.5,True,6.0,True,6.5,False,3.0,True,False,2,72.5,AdaBN,6.5
cho2017,18,Conformer,71.0,65.0,59.5,70.5,64.5,True,False,5.5,False,5.0,True,11.5,True,11.0,True,False,2,71.0,AdaBN,11.5
cho2017,18,EEGNet,74.5,77.0,68.5,70.5,77.5,True,True,8.5,True,9.0,True,6.0,True,2.0,True,False,4,77.5,TENT,9.0
cho2017,19,CSPNet,73.0,76.0,58.5,74.0,72.5,True,True,17.5,True,14.0,True,14.5,True,15.5,True,False,4,76.0,EA,17.5
cho2017,19,Conformer,70.5,69.5,57.0,68.5,67.0,True,False,12.5,False,10.0,True,13.5,False,11.5,True,False,1,70.5,AdaBN,13.5
cho2017,19,EEGNet,68.0,67.5,64.5,68.0,68.0,True,False,3.0,False,3.5,False,3.5,False,3.5,False,True,0,68.0,TENT,3.5
cho2017,20,CSPNet,70.0,70.5,59.0,73.5,67.5,True,True,11.5,False,8.5,True,11.0,True,14.5,True,False,3,73.5,Snapshot,14.5
cho2017,20,Conformer,69.0,65.5,54.0,68.0,64.0,True,False,11.5,False,10.0,False,15.0,False,14.0,False,True,0,69.0,AdaBN,15.0
cho2017,20,EEGNet,67.0,63.5,56.5,62.0,63.0,True,False,7.0,False,6.5,False,10.5,False,5.5,False,True,0,67.0,AdaBN,10.5
cho2017,21,CSPNet,83.0,84.5,73.5,85.5,85.0,False,True,11.0,True,11.5,True,9.5,True,12.0,True,False,4,85.5,Snapshot,12.0
cho2017,21,Conformer,84.0,79.5,66.5,83.0,75.5,True,True,13.0,True,9.0,True,17.5,True,16.5,True,False,4,84.0,AdaBN,17.5
cho2017,21,EEGNet,78.0,72.0,63.5,81.0,75.5,True,True,8.5,True,12.0,True,14.5,True,17.5,True,False,4,81.0,Snapshot,17.5
cho2017,22,CSPNet,70.5,74.0,73.0,71.5,72.5,False,True,1.0,True,-0.5,True,-2.5,True,-1.5,True,False,4,74.0,EA,1.0
cho2017,22,Conformer,74.5,73.5,69.0,78.0,74.0,True,True,4.5,True,5.0,True,5.5,True,9.0,True,False,4,78.0,Snapshot,9.0
cho2017,22,EEGNet,73.0,67.0,72.5,78.0,65.5,False,False,-5.5,False,-7.0,True,0.5,True,5.5,True,False,2,78.0,Snapshot,5.5
cho2017,23,CSPNet,87.5,89.5,84.0,83.5,90.0,False,True,5.5,True,6.0,True,3.5,True,-0.5,True,False,4,90.0,TENT,6.0
cho2017,23,Conformer,86.5,87.5,54.5,84.0,87.0,True,True,33.0,True,32.5,True,32.0,True,29.5,True,False,4,87.5,EA,33.0
cho2017,23,EEGNet,86.0,80.5,80.0,89.0,79.0,False,True,0.5,True,-1.0,True,6.0,True,9.0,True,False,4,89.0,Snapshot,9.0
cho2017,24,CSPNet,71.0,70.5,76.0,72.0,76.0,False,True,-5.5,True,0.0,True,-5.0,True,-4.0,True,False,4,76.0,TENT,0.0
cho2017,24,Conformer,76.5,75.0,71.0,72.5,74.5,False,True,4.0,True,3.5,True,5.5,True,1.5,True,False,4,76.5,AdaBN,5.5
cho2017,24,EEGNet,74.5,70.0,75.0,72.5,70.5,False,True,-5.0,True,-4.5,True,-0.5,True,-2.5,True,False,4,74.5,AdaBN,-0.5
cho2017,25,CSPNet,83.5,79.5,75.0,79.5,79.5,False,True,4.5,True,4.5,True,8.5,True,4.5,True,False,4,83.5,AdaBN,8.5
cho2017,25,Conformer,81.0,79.5,71.0,78.5,80.5,False,True,8.5,True,9.5,True,10.0,True,7.5,True,False,4,81.0,AdaBN,10.0
cho2017,25,EEGNet,72.0,76.0,74.5,80.5,78.0,False,True,1.5,True,3.5,True,-2.5,True,6.0,True,False,4,80.5,Snapshot,6.0
cho2017,26,CSPNet,73.0,72.0,68.5,71.5,73.0,True,True,3.5,True,4.5,True,4.5,True,3.0,True,False,4,73.0,TENT,4.5
cho2017,26,Conformer,76.5,63.5,65.5,68.5,62.5,True,False,-2.0,False,-3.0,True,11.0,False,3.0,True,False,1,76.5,AdaBN,11.0
cho2017,26,EEGNet,74.5,74.5,72.5,68.0,75.5,False,True,2.0,True,3.0,True,2.0,False,-4.5,True,False,3,75.5,TENT,3.0
cho2017,27,CSPNet,53.5,58.0,50.5,62.5,54.0,True,False,7.5,False,3.5,False,3.0,False,12.0,False,True,0,62.5,Snapshot,12.0
cho2017,27,Conformer,61.0,56.0,50.0,56.5,57.5,True,False,6.0,False,7.5,False,11.0,False,6.5,False,True,0,61.0,AdaBN,11.0
cho2017,27,EEGNet,50.5,54.0,49.0,53.5,51.5,True,False,5.0,False,2.5,False,1.5,False,4.5,False,True,0,54.0,EA,5.0
cho2017,28,CSPNet,48.0,49.5,49.5,45.5,50.5,True,False,0.0,False,1.0,False,-1.5,False,-4.0,False,True,0,50.5,TENT,1.0
cho2017,28,Conformer,50.0,48.5,51.0,49.0,48.5,True,False,-2.5,False,-2.5,False,-1.0,False,-2.0,False,True,0,50.0,AdaBN,-1.0
cho2017,28,EEGNet,51.0,50.0,54.5,48.0,49.0,True,False,-4.5,False,-5.5,False,-3.5,False,-6.5,False,True,0,51.0,AdaBN,-3.5
cho2017,29,CSPNet,54.5,56.0,60.0,55.5,59.0,True,False,-4.0,False,-1.0,False,-5.5,False,-4.5,False,True,0,59.0,TENT,-1.0
cho2017,29,Conformer,61.5,65.5,59.0,55.0,57.0,True,False,6.5,False,-2.0,False,2.5,False,-4.0,False,True,0,65.5,EA,6.5
cho2017,29,EEGNet,60.5,60.5,64.5,58.5,58.5,True,False,-4.0,False,-6.0,False,-4.0,False,-6.0,False,True,0,60.5,EA,-4.0
cho2017,30,CSPNet,72.0,63.5,60.5,75.5,70.5,True,False,3.0,True,10.0,True,11.5,True,15.0,True,False,3,75.5,Snapshot,15.0
cho2017,30,Conformer,61.5,61.5,63.5,60.0,59.5,True,False,-2.0,False,-4.0,False,-2.0,False,-3.5,False,True,0,61.5,EA,-2.0
cho2017,30,EEGNet,66.5,65.0,59.5,61.0,66.5,True,False,5.5,False,7.0,False,7.0,False,1.5,False,True,0,66.5,TENT,7.0
cho2017,31,CSPNet,69.5,66.0,61.0,70.0,69.5,True,False,5.0,False,8.5,False,8.5,True,9.0,True,False,1,70.0,Snapshot,9.0
cho2017,31,Conformer,72.0,69.5,60.0,71.0,72.0,True,False,9.5,True,12.0,True,12.0,True,11.0,True,False,3,72.0,TENT,12.0
cho2017,31,EEGNet,69.5,64.0,66.5,74.0,72.5,True,False,-2.5,True,6.0,False,3.0,True,7.5,True,False,2,74.0,Snapshot,7.5
cho2017,32,CSPNet,52.5,54.0,57.0,55.5,52.0,True,False,-3.0,False,-5.0,False,-4.5,False,-1.5,False,True,0,55.5,Snapshot,-1.5
cho2017,32,Conformer,55.0,54.0,53.0,55.0,50.0,True,False,1.0,False,-3.0,False,2.0,False,2.0,False,True,0,55.0,AdaBN,2.0
cho2017,32,EEGNet,50.5,55.5,52.5,51.5,54.0,True,False,3.0,False,1.5,False,-2.0,False,-1.0,False,True,0,55.5,EA,3.0
cho2017,33,CSPNet,66.0,67.5,67.0,68.5,69.5,True,False,0.5,False,2.5,False,-1.0,False,1.5,False,True,0,69.5,TENT,2.5
cho2017,33,Conformer,65.5,67.5,58.5,61.5,69.0,True,False,9.0,False,10.5,False,7.0,False,3.0,False,True,0,69.0,TENT,10.5
cho2017,33,EEGNet,67.5,68.5,63.0,65.0,72.5,True,False,5.5,True,9.5,False,4.5,False,2.0,True,False,1,72.5,TENT,9.5
cho2017,34,CSPNet,53.5,52.0,53.0,54.5,52.5,True,False,-1.0,False,-0.5,False,0.5,False,1.5,False,True,0,54.5,Snapshot,1.5
cho2017,34,Conformer,51.0,53.5,51.0,50.0,54.5,True,False,2.5,False,3.5,False,0.0,False,-1.0,False,True,0,54.5,TENT,3.5
cho2017,34,EEGNet,52.5,59.5,49.0,51.5,56.5,True,False,10.5,False,7.5,False,3.5,False,2.5,False,True,0,59.5,EA,10.5
cho2017,35,CSPNet,54.5,57.5,58.0,58.0,59.0,True,False,-0.5,False,1.0,False,-3.5,False,0.0,False,True,0,59.0,TENT,1.0
cho2017,35,Conformer,61.0,63.5,54.5,61.5,57.0,True,False,9.0,False,2.5,False,6.5,False,7.0,False,True,0,63.5,EA,9.0
cho2017,35,EEGNet,55.0,60.5,56.0,61.0,59.5,True,False,4.5,False,3.5,False,-1.0,False,5.0,False,True,0,61.0,Snapshot,5.0
cho2017,36,CSPNet,73.5,71.5,67.5,68.5,69.0,True,True,4.0,False,1.5,True,6.0,False,1.0,True,False,2,73.5,AdaBN,6.0
cho2017,36,Conformer,70.0,73.0,71.5,64.5,75.0,False,True,1.5,True,3.5,True,-1.5,False,-7.0,True,False,3,75.0,TENT,3.5
cho2017,36,EEGNet,68.0,69.0,67.5,68.5,67.5,True,False,1.5,False,0.0,False,0.5,False,1.0,False,True,0,69.0,EA,1.5
cho2017,37,CSPNet,54.0,57.0,50.5,51.0,54.5,True,False,6.5,False,4.0,False,3.5,False,0.5,False,True,0,57.0,EA,6.5
cho2017,37,Conformer,52.5,47.5,53.0,49.5,50.0,True,False,-5.5,False,-3.0,False,-0.5,False,-3.5,False,True,0,52.5,AdaBN,-0.5
cho2017,37,EEGNet,44.5,49.0,50.0,47.5,51.5,True,False,-1.0,False,1.5,False,-5.5,False,-2.5,False,True,0,51.5,TENT,1.5
cho2017,38,CSPNet,71.0,69.5,52.5,70.0,68.0,True,False,17.0,False,15.5,True,18.5,True,17.5,True,False,2,71.0,AdaBN,18.5
cho2017,38,Conformer,67.0,62.0,63.0,55.5,58.5,True,False,-1.0,False,-4.5,False,4.0,False,-7.5,False,True,0,67.0,AdaBN,4.0
cho2017,38,EEGNet,70.0,72.0,64.0,60.5,69.0,True,True,8.0,False,5.0,True,6.0,False,-3.5,True,False,2,72.0,EA,8.0
cho2017,39,CSPNet,76.0,79.5,50.5,78.5,79.5,True,True,29.0,True,29.0,True,25.5,True,28.0,True,False,4,79.5,EA,29.0
cho2017,39,Conformer,73.5,71.5,50.5,75.0,60.5,True,True,21.0,False,10.0,True,23.0,True,24.5,True,False,3,75.0,Snapshot,24.5
cho2017,39,EEGNet,79.5,74.5,53.0,72.5,72.5,True,True,21.5,True,19.5,True,26.5,True,19.5,True,False,4,79.5,AdaBN,26.5
cho2017,40,CSPNet,50.0,54.0,52.0,53.0,52.0,True,False,2.0,False,0.0,False,-2.0,False,1.0,False,True,0,54.0,EA,2.0
cho2017,40,Conformer,52.0,55.0,47.5,54.5,52.0,True,False,7.5,False,4.5,False,4.5,False,7.0,False,True,0,55.0,EA,7.5
cho2017,40,EEGNet,55.0,53.0,52.5,54.0,49.5,True,False,0.5,False,-3.0,False,2.5,False,1.5,False,True,0,55.0,AdaBN,2.5
cho2017,41,CSPNet,96.0,96.5,90.5,92.5,95.0,False,True,6.0,True,4.5,True,5.5,True,2.0,True,False,4,96.5,EA,6.0
cho2017,41,Conformer,94.0,89.0,91.5,91.0,92.0,False,True,-2.5,True,0.5,True,2.5,True,-0.5,True,False,4,94.0,AdaBN,2.5
cho2017,41,EEGNet,95.5,97.0,94.0,95.5,95.0,False,True,3.0,True,1.0,True,1.5,True,1.5,True,False,4,97.0,EA,3.0
cho2017,42,CSPNet,70.0,67.5,70.5,67.0,69.0,False,False,-3.0,False,-1.5,True,-0.5,False,-3.5,True,False,1,70.0,AdaBN,-0.5
cho2017,42,Conformer,65.5,66.5,65.0,65.5,71.0,True,False,1.5,True,6.0,False,0.5,False,0.5,True,False,1,71.0,TENT,6.0
cho2017,42,EEGNet,68.0,64.0,72.0,71.0,62.5,False,False,-8.0,False,-9.5,False,-4.0,True,-1.0,True,False,1,71.0,Snapshot,-1.0
cho2017,43,CSPNet,96.0,97.0,96.5,96.5,97.5,False,True,0.5,True,1.0,True,-0.5,True,0.0,True,False,4,97.5,TENT,1.0
cho2017,43,Conformer,97.5,97.5,98.0,98.0,97.0,False,True,-0.5,True,-1.0,True,-0.5,True,0.0,True,False,4,98.0,Snapshot,0.0
cho2017,43,EEGNet,96.0,97.0,97.0,97.0,96.5,False,True,0.0,True,-0.5,True,-1.0,True,0.0,True,False,4,97.0,EA,0.0
cho2017,44,CSPNet,79.5,80.0,72.5,75.0,81.5,False,True,7.5,True,9.0,True,7.0,True,2.5,True,False,4,81.5,TENT,9.0
cho2017,44,Conformer,71.5,74.0,74.5,77.5,64.0,False,True,-0.5,False,-10.5,True,-3.0,True,3.0,True,False,3,77.5,Snapshot,3.0
cho2017,44,EEGNet,76.5,74.0,67.0,78.0,75.5,True,True,7.0,True,8.5,True,9.5,True,11.0,True,False,4,78.0,Snapshot,11.0
cho2017,45,CSPNet,67.5,68.5,65.0,65.5,70.5,True,False,3.5,True,5.5,False,2.5,False,0.5,True,False,1,70.5,TENT,5.5
cho2017,45,Conformer,71.5,66.0,66.0,66.0,56.5,True,False,0.0,False,-9.5,True,5.5,False,0.0,True,False,1,71.5,AdaBN,5.5
cho2017,45,EEGNet,62.0,69.5,58.5,63.0,70.0,True,False,11.0,True,11.5,False,3.5,False,4.5,True,False,1,70.0,TENT,11.5
cho2017,46,CSPNet,79.5833,81.25,62.5,82.5,81.6667,True,True,18.75,True,19.166700000000006,True,17.083299999999994,True,20.0,True,False,4,82.5,Snapshot,20.0
cho2017,46,Conformer,82.5,73.3333,79.1667,80.0,73.75,False,True,-5.833400000000012,True,-5.416700000000006,True,3.333299999999994,True,0.8332999999999942,True,False,4,82.5,AdaBN,3.333299999999994
cho2017,46,EEGNet,82.9167,77.0833,72.9167,79.2,75.8333,False,True,4.166599999999988,True,2.9165999999999883,True,10.0,True,6.283299999999997,True,False,4,82.9167,AdaBN,10.0
cho2017,47,CSPNet,78.0,74.0,66.0,70.5,76.5,True,True,8.0,True,10.5,True,12.0,True,4.5,True,False,4,78.0,AdaBN,12.0
cho2017,47,Conformer,72.0,73.0,70.0,71.5,74.0,False,True,3.0,True,4.0,True,2.0,True,1.5,True,False,4,74.0,TENT,4.0
cho2017,47,EEGNet,74.0,71.5,66.5,74.0,70.0,True,True,5.0,True,3.5,True,7.5,True,7.5,True,False,4,74.0,AdaBN,7.5
cho2017,48,CSPNet,94.5,95.5,90.0,94.5,95.5,False,True,5.5,True,5.5,True,4.5,True,4.5,True,False,4,95.5,EA,5.5
cho2017,48,Conformer,88.5,87.0,87.5,91.0,84.0,False,True,-0.5,True,-3.5,True,1.0,True,3.5,True,False,4,91.0,Snapshot,3.5
cho2017,48,EEGNet,96.0,95.5,92.5,95.0,96.0,False,True,3.0,True,3.5,True,3.5,True,2.5,True,False,4,96.0,TENT,3.5
cho2017,49,CSPNet,73.0,73.5,67.5,70.5,68.0,True,True,6.0,False,0.5,True,5.5,True,3.0,True,False,3,73.5,EA,6.0
cho2017,49,Conformer,72.0,63.5,63.0,71.5,73.5,True,False,0.5,True,10.5,True,9.0,True,8.5,True,False,3,73.5,TENT,10.5
cho2017,49,EEGNet,69.5,68.0,63.0,69.5,62.5,True,False,5.0,False,-0.5,False,6.5,False,6.5,False,True,0,69.5,AdaBN,6.5
cho2017,50,CSPNet,68.5,70.5,56.5,68.5,69.5,True,True,14.0,False,13.0,False,12.0,False,12.0,True,False,1,70.5,EA,14.0
cho2017,50,Conformer,67.5,60.0,67.0,61.5,57.0,True,False,-7.0,False,-10.0,False,0.5,False,-5.5,False,True,0,67.5,AdaBN,0.5
cho2017,50,EEGNet,71.0,69.5,57.0,65.5,69.0,True,False,12.5,False,12.0,True,14.0,False,8.5,True,False,1,71.0,AdaBN,14.0
cho2017,51,CSPNet,66.5,68.0,64.0,66.0,70.0,True,False,4.0,True,6.0,False,2.5,False,2.0,True,False,1,70.0,TENT,6.0
cho2017,51,Conformer,65.0,67.5,58.5,63.5,64.5,True,False,9.0,False,6.0,False,6.5,False,5.0,False,True,0,67.5,EA,9.0
cho2017,51,EEGNet,70.5,62.5,63.0,65.0,62.0,True,False,-0.5,False,-1.0,True,7.5,False,2.0,True,False,1,70.5,AdaBN,7.5
cho2017,52,CSPNet,82.5,79.5,73.5,76.5,78.0,False,True,6.0,True,4.5,True,9.0,True,3.0,True,False,4,82.5,AdaBN,9.0
cho2017,52,Conformer,74.0,79.0,61.0,73.0,67.5,True,True,18.0,False,6.5,True,13.0,True,12.0,True,False,3,79.0,EA,18.0
