train_dataset,test_dataset,subject,baseline_acc,baseline_bac,baseline_file,candidate_acc,candidate_bac,candidate_file,comparison,delta,common_n_channels,source_dataset_mean_dist,source_dataset_min_dist,source_dataset_knn3_dist,source_dataset_knn5_dist,source_dataset_knn10_dist,source_dataset_sim_weight
cho2017,lee2019,2,51.0,51.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,62.0,62.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,11.0,48,0.23619238909903462,0.048475403147266685,0.06657643032675581,0.07343168352749906,0.08483369878323252,41.944361637131095
cho2017,lee2019,3,71.0,71.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,81.5,81.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,10.5,48,0.23605552032917768,0.04835383011684928,0.06644314728484375,0.07329801114245467,0.08470024065731371,41.950112626461284
cho2017,lee2019,4,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,59.5,59.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,9.5,48,0.23621021637227516,0.048491507409858185,0.06659451352356716,0.07344939480584382,0.08485146247949141,41.943612021054776
cho2017,lee2019,5,54.0,54.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,79.0,79.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,25.0,48,0.23618691692243893,0.0484696602160504,0.06657100398527575,0.07342629286617305,0.08482833493793128,41.944594038643245
cho2017,lee2019,6,49.5,49.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,61.0,61.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,11.5,48,0.23612270378918174,0.04841082129750286,0.06650691393141275,0.07336275673742586,0.08476552247622915,41.94728723003744
cho2017,lee2019,7,60.0,60.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,56.0,56.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,-4.0,48,0.2360965079598149,0.04839331696792007,0.06648207799481916,0.07333685202254717,0.08474046286216627,41.94839196180971
cho2017,lee2019,8,52.5,52.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,67.5,67.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,15.0,48,0.23593819205843447,0.0482549982911164,0.06632220837587359,0.07318260035344151,0.08458574547892425,41.95500066034246
cho2017,lee2019,9,52.0,52.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,74.5,74.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,22.5,48,0.23618381834194183,0.048467974212219204,0.06656734625107963,0.07342325214394531,0.08482528044451285,41.94471977993776
cho2017,lee2019,10,57.5,57.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,63.0,63.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,5.5,48,0.2358880991777861,0.04822006708349149,0.06627340847021392,0.07313450635917992,0.08453925661160319,41.95711745226574
cho2017,lee2019,11,50.5,50.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,51.5,51.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,1.0,48,0.2361777316218302,0.048465479444790634,0.06656266260156879,0.07341833808053512,0.08482030916760078,41.94496917938698
cho2017,lee2019,12,54.0,54.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,64.0,64.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,10.0,48,0.2361201538315324,0.048415543556743906,0.06650507249294559,0.07336126286315028,0.08476387373857824,41.947387556807406
cho2017,lee2019,13,48.5,48.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,62.5,62.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,14.0,48,0.23589855842217589,0.04822871372291142,0.06628404961174449,0.07314178227004113,0.08454841058629213,41.9566975685193
cho2017,lee2019,14,58.0,58.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,70.0,70.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,12.0,48,0.23607085144215995,0.04836861046044684,0.06645477999332651,0.07331229207144588,0.08471494980011855,41.949444724291176
cho2017,lee2019,15,53.0,53.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,53.5,53.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,0.5,48,0.2361958246423687,0.048475157971909856,0.06657965679465562,0.07343434285260268,0.08483603275056058,41.94422781362164
cho2017,lee2019,16,52.5,52.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,61.0,61.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,8.5,48,0.23613952893161902,0.04842869478919427,0.06652329082926131,0.07337976068841093,0.08478205106274402,41.94657291737748
cho2017,lee2019,17,57.0,57.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,71.0,71.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,14.0,48,0.23606134839461745,0.04836640196798042,0.06645141762767372,0.0733064281617141,0.08470874427903433,41.94986585423694
cho2017,lee2019,18,57.5,57.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,89.0,89.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,31.5,48,0.23621006000755024,0.04849173486031865,0.06659394764131664,0.07344917211462097,0.0848512681862538,41.94362010404848
cho2017,lee2019,19,66.0,66.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,81.5,81.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,15.5,48,0.2361529892508823,0.048443769350548053,0.06653725686131116,0.07339375466459566,0.08479612079385476,41.9460105680839
cho2017,lee2019,20,51.5,51.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,59.5,59.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,8.0,48,0.23613961756899113,0.04842975012438416,0.06652327515821005,0.07337948220363308,0.08478198861218691,41.94657791642462
cho2017,lee2019,21,81.0,81.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,93.5,93.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,12.5,48,0.2361380953987505,0.04842470421149122,0.06652116537854258,0.07337738841588853,0.08477992218576116,41.946638272143275
cho2017,lee2019,22,67.0,67.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,72.5,72.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,5.5,48,0.2360425609429525,0.04835264966290697,0.06642965381515098,0.07328715397058877,0.0846884665005641,41.95064841980381
cho2017,lee2019,23,55.5,55.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,74.5,74.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,19.0,48,0.23613986709162957,0.04842642931874549,0.06652208448151231,0.07337899531102204,0.0847815120104,41.94656373235656
cho2017,lee2019,24,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,54.5,54.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,4.5,48,0.23619824725135866,0.048482552602775154,0.06658285658724018,0.07343815328501066,0.08483995337108796,41.9441162942069
cho2017,lee2019,25,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,56.0,56.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,6.0,48,0.23617627379434505,0.04846187668764196,0.06656034411248427,0.07341599008927072,0.08481817394585667,41.94503727623889
cho2017,lee2019,26,50.5,50.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,62.5,62.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,12.0,48,0.2360602770855733,0.04836967830726768,0.06644504220482939,0.07330440501140467,0.08470723710097358,41.94988229106515
cho2017,lee2019,27,51.0,51.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,52.5,52.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,1.5,48,0.23622917409113714,0.04850611305587784,0.06661302654467237,0.07346746621117518,0.08486899909299493,41.94282399798191
cho2017,lee2019,28,50.5,50.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,79.5,79.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,29.0,48,0.23616766669464775,0.04845479216202771,0.06655127222695251,0.07340726241660436,0.08480984273264075,41.945397318244765
cho2017,lee2019,29,65.0,65.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,79.0,79.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,14.0,48,0.23602999671563651,0.04834411904161249,0.06641666995425437,0.07327627231017632,0.08467799739106072,41.95114663589835
cho2017,lee2019,30,51.0,51.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,62.0,62.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,11.0,48,0.23616053719430555,0.04844407552029042,0.06654465740976555,0.07339954190410483,0.08480197829686893,41.94570272141948
cho2017,lee2019,31,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,63.0,63.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,13.0,48,0.2362057318089505,0.04848959541953203,0.06658997332884546,0.07344526618298743,0.08484743998511256,41.943802791552685
cho2017,lee2019,32,66.0,66.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,94.0,94.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,28.0,48,0.23621422805704057,0.048492126107492484,0.0665981579413068,0.073452652735396,0.08485449631134834,41.94345430123317
cho2017,lee2019,33,60.5,60.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,85.5,85.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,25.0,48,0.23610990610855936,0.04840274865968007,0.06649257096813903,0.07334959569391097,0.08475254686425568,41.94782425789119
cho2017,lee2019,34,48.5,48.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,44.0,44.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,-4.5,48,0.23606628436596117,0.04834804810986023,0.06644907529826062,0.07330383597944612,0.08470800533274805,41.94969076513989
cho2017,lee2019,35,50.5,50.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,48.5,48.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,-2.0,48,0.2361822215991029,0.048463161418052535,0.0665666414441269,0.0734207387040818,0.08482385124787291,41.9448031337838
cho2017,lee2019,36,72.0,72.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,96.5,96.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,24.5,48,0.23614856670058584,0.04843759682880339,0.06653200665885146,0.07338789799187627,0.08479106078061623,41.9462070019433
cho2017,lee2019,37,52.5,52.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,91.0,91.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,38.5,48,0.23619614629597807,0.048476575870910754,0.06657892696513107,0.07343429644809149,0.08483673692745398,41.944210382322616
cho2017,lee2019,38,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,61.0,61.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,11.0,48,0.23620352386409363,0.0484859937202087,0.06658847134840466,0.07344319068589467,0.08484505186025035,41.9438963866827
cho2017,lee2019,39,59.0,59.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,84.0,84.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,25.0,48,0.23601417817435938,0.048335098573593326,0.06639890844047185,0.0732602271315709,0.08466383372030489,41.9518130110124
cho2017,lee2019,40,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,54.0,54.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,4.0,48,0.23615129407581611,0.048439689956368444,0.06653552343389074,0.0733915151066277,0.08479385103203783,41.94607845573964
cho2017,lee2019,41,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,60.0,60.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,10.0,48,0.2362355537726274,0.048511528640615365,0.06661957388120762,0.07347363437232127,0.08487543112362342,41.942558332355446
cho2017,lee2019,42,57.0,57.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,71.0,71.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,14.0,48,0.2360976947106554,0.048401406864450054,0.06648351587134395,0.07334122528236726,0.08474366785897192,41.9483152111095
cho2017,lee2019,43,51.5,51.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,73.0,73.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,21.5,48,0.23614331118118295,0.04843540428166983,0.06652802265341519,0.07338428593241932,0.08478655711509056,41.94641503065307
cho2017,lee2019,44,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,84.0,84.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,34.0,48,0.23615656563960938,0.04844614773698649,0.06654015162998263,0.07339678778325572,0.0847993439453615,41.94585649965536
cho2017,lee2019,45,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,70.5,70.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,20.5,48,0.2362171050406095,0.04849430976001894,0.0666007368942352,0.07345514692464303,0.08485736357663315,41.94333224089186
cho2017,lee2019,46,51.0,51.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,72.0,72.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,21.0,48,0.23579571970170476,0.04816676046445546,0.0661857038765395,0.07305187438902988,0.08445756768628107,41.96095207322666
cho2017,lee2019,47,56.0,56.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,65.5,65.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,9.5,48,0.2359462222670165,0.04826799234795742,0.06633015723376734,0.07319003916689047,0.08459493299516864,41.95466568864918
cho2017,lee2019,48,53.5,53.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,58.0,58.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,4.5,48,0.23603481468658524,0.0483509039637571,0.06642026742114097,0.07328038952595313,0.0846832732237732,41.950949757943874
cho2017,lee2019,49,55.5,55.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,76.0,76.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,20.5,48,0.23618109888652877,0.0484688689813456,0.06656542440016687,0.07342126732769227,0.08482353582178079,41.94483138923748
cho2017,lee2019,50,50.5,50.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,54.0,54.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,3.5,48,0.23621804433257435,0.04849585337309683,0.06660235908533285,0.0734568972218397,0.08485833201040772,41.94329575769117
cho2017,lee2019,51,61.5,61.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,61.5,61.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,0.0,48,0.2361398665932099,0.04843434386868878,0.0665252130463142,0.07338177247039987,0.08478369718845608,41.946551885381105
cho2017,lee2019,52,53.0,53.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,69.0,69.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,16.0,48,0.2360879289441491,0.04839207650802964,0.06647267030841407,0.07333057071896819,0.08473330555868504,41.94874247521638
cho2017,lee2019,53,57.5,57.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,62.5,62.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_DatasetEA_SubjectEA,5.0,48,0.23609324346782756,0.04838838657193529,0.06647823645460074,0.07333438742677664,0.0847363302612236,41.9485277884779
