method,direction,n_subjects,acc_mean,acc_std,precision_mean,precision_std,f1_mean,f1_std,kappa_mean,kappa_std,avg_acc,min_acc,avg_kappa
SessionEA+Feature-CORAL+MMD-resample+CSP-LDA,Cho->Lee,54,70.287,12.272,70.287,12.272,70.287,12.272,0.406,0.245,67.97200000000001,65.657,0.35950000000000004
SessionEA+Feature-CORAL+MMD-resample+CSP-LDA,Lee->Cho,52,65.657,11.337,65.657,11.337,65.657,11.337,0.313,0.227,67.97200000000001,65.657,0.35950000000000004
SessionEA+CSP-LDA,Cho->Lee,54,70.741,13.054,71.222,13.284,69.869,14.282,0.415,0.261,67.938,65.135,0.359
SessionEA+CSP-LDA,Lee->Cho,52,65.135,12.279,65.512,12.411,64.908,12.348,0.303,0.246,67.938,65.135,0.359
SessionEA+Feature-CORAL+CSP-LDA,Cho->Lee,54,70.204,12.33,70.235,12.346,70.19,12.338,0.404,0.247,67.9335,65.663,0.35850000000000004
SessionEA+Feature-CORAL+CSP-LDA,Lee->Cho,52,65.663,11.409,65.697,11.424,65.639,11.421,0.313,0.228,67.9335,65.663,0.35850000000000004
SessionEA+MMD-resample+CSP-LDA,Cho->Lee,54,70.676,12.839,70.676,12.839,70.676,12.839,0.414,0.257,67.918,65.16,0.3585
SessionEA+MMD-resample+CSP-LDA,Lee->Cho,52,65.16,12.356,65.16,12.356,65.16,12.356,0.303,0.247,67.918,65.16,0.3585
Feature-CORAL+CSP-LDA,Cho->Lee,54,69.611,11.693,69.611,11.693,69.611,11.693,0.392,0.234,67.5505,65.49,0.351
Feature-CORAL+CSP-LDA,Lee->Cho,52,65.49,11.539,65.49,11.539,65.49,11.539,0.31,0.231,67.5505,65.49,0.351
SourceSelect-k30+CSP-LDA,Cho->Lee,54,69.574,12.793,69.574,12.793,69.574,12.793,0.391,0.256,67.356,65.138,0.347
SourceSelect-k30+CSP-LDA,Lee->Cho,52,65.138,12.682,65.138,12.682,65.138,12.682,0.303,0.254,67.356,65.138,0.347
RawUnified+DatasetEA+SubjectEA+CSP-LDA,Cho->Lee,54,68.963,12.371,69.267,12.43,68.711,12.604,0.379,0.247,67.032,65.101,0.3405
RawUnified+DatasetEA+SubjectEA+CSP-LDA,Lee->Cho,52,65.101,12.274,65.427,12.346,64.85,12.408,0.302,0.245,67.032,65.101,0.3405
raw+unified,Cho->Lee,54,68.963,12.371,68.963,12.371,68.963,12.371,0.379,0.247,67.0315,65.1,0.3405
raw+unified,Lee->Cho,52,65.1,12.274,65.1,12.274,65.1,12.274,0.302,0.245,67.0315,65.1,0.3405
MMD-resample+CSP-LDA,Cho->Lee,54,69.0,12.283,69.0,12.283,69.0,12.283,0.38,0.246,67.001,65.002,0.33999999999999997
MMD-resample+CSP-LDA,Lee->Cho,52,65.002,12.447,65.002,12.447,65.002,12.447,0.3,0.249,67.001,65.002,0.33999999999999997
SourceSelect-k20+CSP-LDA,Cho->Lee,54,69.407,12.695,69.407,12.695,69.407,12.695,0.388,0.254,66.98400000000001,64.561,0.3395
SourceSelect-k20+CSP-LDA,Lee->Cho,52,64.561,12.878,64.561,12.878,64.561,12.878,0.291,0.258,66.98400000000001,64.561,0.3395
ZscoreBeforeEA+DatasetEA+SubjectEA+CSP-LDA,Cho->Lee,54,68.815,12.332,68.815,12.332,68.815,12.332,0.376,0.247,66.93549999999999,65.056,0.3385
ZscoreBeforeEA+DatasetEA+SubjectEA+CSP-LDA,Lee->Cho,52,65.056,12.214,65.056,12.214,65.056,12.214,0.301,0.244,66.93549999999999,65.056,0.3385
SourceSelect-k40+CSP-LDA,Cho->Lee,54,69.0,12.868,69.0,12.868,69.0,12.868,0.38,0.257,66.9125,64.825,0.3385
SourceSelect-k40+CSP-LDA,Lee->Cho,52,64.825,12.591,64.825,12.591,64.825,12.591,0.297,0.252,66.9125,64.825,0.3385
WeightedDatasetEA+SubjectEA+CSP-LDA,Cho->Lee,54,68.574,12.177,68.574,12.177,68.574,12.177,0.371,0.244,66.776,64.978,0.3355
WeightedDatasetEA+SubjectEA+CSP-LDA,Lee->Cho,52,64.978,12.236,64.978,12.236,64.978,12.236,0.3,0.245,66.776,64.978,0.3355
DatasetEA+Zscore+SubjectEA+CSP-LDA,Cho->Lee,54,68.102,12.322,68.102,12.322,68.102,12.322,0.362,0.246,66.52600000000001,64.95,0.3305
DatasetEA+Zscore+SubjectEA+CSP-LDA,Lee->Cho,52,64.95,12.316,64.95,12.316,64.95,12.316,0.299,0.246,66.52600000000001,64.95,0.3305
SourceSelect-k10+CSP-LDA,Cho->Lee,54,68.287,12.524,68.287,12.524,68.287,12.524,0.366,0.25,66.339,64.391,0.32699999999999996
SourceSelect-k10+CSP-LDA,Lee->Cho,52,64.391,13.092,64.391,13.092,64.391,13.092,0.288,0.262,66.339,64.391,0.32699999999999996
StdMI+DatasetEA+SubjectEA+CSP-LDA,Cho->Lee,54,68.102,12.376,68.102,12.376,68.102,12.376,0.362,0.248,66.025,63.948,0.3205
StdMI+DatasetEA+SubjectEA+CSP-LDA,Lee->Cho,52,63.948,11.796,63.948,11.796,63.948,11.796,0.279,0.236,66.025,63.948,0.3205
FrequencySpecificEA+CSP-LDA,Cho->Lee,54,67.185,11.974,67.185,11.974,67.185,11.974,0.344,0.239,64.67099999999999,62.157,0.2935
FrequencySpecificEA+CSP-LDA,Lee->Cho,52,62.157,10.327,62.157,10.327,62.157,10.327,0.243,0.207,64.67099999999999,62.157,0.2935
RiemannianDatasetEA+SubjectEA+CSP-LDA,Cho->Lee,54,64.25,11.913,64.25,11.913,64.25,11.913,0.285,0.238,61.570499999999996,58.891,0.23149999999999998
RiemannianDatasetEA+SubjectEA+CSP-LDA,Lee->Cho,52,58.891,10.395,58.891,10.395,58.891,10.395,0.178,0.208,61.570499999999996,58.891,0.23149999999999998
psd+DatasetEA+SubjectEA+adabn+con+AdaBN_eval,Cho->Lee,54,62.287,10.018,62.287,10.018,62.287,10.018,0.246,0.2,61.408,60.529,0.22849999999999998
psd+DatasetEA+SubjectEA+adabn+con+AdaBN_eval,Lee->Cho,52,60.529,8.992,60.529,8.992,60.529,8.992,0.211,0.18,61.408,60.529,0.22849999999999998
DatasetEA+SubjectEA+cspnet,Cho->Lee,54,62.352,9.505,62.352,9.505,62.352,9.505,0.247,0.19,61.269999999999996,60.188,0.22549999999999998
DatasetEA+SubjectEA+cspnet,Lee->Cho,52,60.188,8.606,60.188,8.606,60.188,8.606,0.204,0.172,61.269999999999996,60.188,0.22549999999999998
DatasetEA+SubjectEA+adabn+con+AdaBN_eval,Cho->Lee,54,62.694,9.991,62.694,9.991,62.694,9.991,0.254,0.2,61.245000000000005,59.796,0.225
DatasetEA+SubjectEA+adabn+con+AdaBN_eval,Lee->Cho,52,59.796,8.208,59.796,8.208,59.796,8.208,0.196,0.164,61.245000000000005,59.796,0.225
StdMI+DatasetEA+SubjectEA+SourceWeightTau0.1+cspnet,Cho->Lee,54,62.889,8.995,62.889,8.995,62.889,8.995,0.258,0.18,61.131,59.373,0.223
StdMI+DatasetEA+SubjectEA+SourceWeightTau0.1+cspnet,Lee->Cho,52,59.373,9.143,59.373,9.143,59.373,9.143,0.188,0.183,61.131,59.373,0.223
psd+DatasetEA+SubjectEA+adabn+con,Cho->Lee,54,62.019,9.867,62.019,9.867,62.019,9.867,0.24,0.197,61.049,60.079,0.221
psd+DatasetEA+SubjectEA+adabn+con,Lee->Cho,52,60.079,8.954,60.079,8.954,60.079,8.954,0.202,0.179,61.049,60.079,0.221
DatasetEA+SubjectEA+adabn+con,Cho->Lee,54,62.352,9.505,62.352,9.505,62.352,9.505,0.247,0.19,61.033500000000004,59.715,0.2205
DatasetEA+SubjectEA+adabn+con,Lee->Cho,52,59.715,8.348,59.715,8.348,59.715,8.348,0.194,0.167,61.033500000000004,59.715,0.2205
psd+DatasetEA+SubjectEA+tent+TENT_eval,Cho->Lee,54,62.287,9.982,62.287,9.982,62.287,9.982,0.246,0.2,60.9,59.513,0.218
psd+DatasetEA+SubjectEA+tent+TENT_eval,Lee->Cho,52,59.513,9.059,59.513,9.059,59.513,9.059,0.19,0.181,60.9,59.513,0.218
psd+DatasetEA+SubjectEA+cspnet,Cho->Lee,54,62.019,9.867,62.019,9.867,62.019,9.867,0.24,0.197,60.814499999999995,59.61,0.216
psd+DatasetEA+SubjectEA+cspnet,Lee->Cho,52,59.61,9.079,59.61,9.079,59.61,9.079,0.192,0.182,60.814499999999995,59.61,0.216
StdMI+DatasetEA+SubjectEA+PseudoLabel0.80+cspnet,Cho->Lee,54,60.954,9.012,60.954,9.012,60.954,9.012,0.219,0.18,60.7455,60.537,0.215
StdMI+DatasetEA+SubjectEA+PseudoLabel0.80+cspnet,Lee->Cho,52,60.537,9.089,60.537,9.089,60.537,9.089,0.211,0.182,60.7455,60.537,0.215
EA+PSDNorm+cspnet,Cho->Lee,54,62.324,9.461,62.324,9.461,62.324,9.461,0.246,0.189,60.7235,59.123,0.214
EA+PSDNorm+cspnet,Lee->Cho,52,59.123,8.169,59.123,8.169,59.123,8.169,0.182,0.163,60.7235,59.123,0.214
StdMI+DatasetEA+SubjectEA+cspnet,Cho->Lee,54,62.139,8.885,62.139,8.885,62.139,8.885,0.243,0.178,60.6685,59.198,0.2135
StdMI+DatasetEA+SubjectEA+cspnet,Lee->Cho,52,59.198,8.898,59.198,8.898,59.198,8.898,0.184,0.178,60.6685,59.198,0.2135
psd+DatasetEA+SubjectEA+tent,Cho->Lee,54,62.019,9.867,62.019,9.867,62.019,9.867,0.24,0.197,60.0815,58.144,0.2015
psd+DatasetEA+SubjectEA+tent,Lee->Cho,52,58.144,7.996,58.144,7.996,58.144,7.996,0.163,0.16,60.0815,58.144,0.2015
StdMI+DatasetEA+SubjectEA+DSBN+con,Cho->Lee,54,62.602,9.692,62.602,9.692,62.602,9.692,0.252,0.194,60.01649999999999,57.431,0.2005
StdMI+DatasetEA+SubjectEA+DSBN+con,Lee->Cho,52,57.431,7.651,57.431,7.651,57.431,7.651,0.149,0.153,60.01649999999999,57.431,0.2005
StdMI+DatasetEA+SubjectEA+DSBN+cspnet,Cho->Lee,54,62.602,9.692,62.602,9.692,62.602,9.692,0.252,0.194,60.004999999999995,57.408,0.2
StdMI+DatasetEA+SubjectEA+DSBN+cspnet,Lee->Cho,52,57.408,7.512,57.408,7.512,57.408,7.512,0.148,0.15,60.004999999999995,57.408,0.2
SubjectEA+DatasetEA+cspnet,Cho->Lee,54,60.806,9.745,60.806,9.745,60.806,9.745,0.216,0.195,59.664500000000004,58.523,0.193
SubjectEA+DatasetEA+cspnet,Lee->Cho,52,58.523,8.47,58.523,8.47,58.523,8.47,0.17,0.169,59.664500000000004,58.523,0.193
StdMI+DatasetEA+SubjectEA+SourceWeightTau0.5+cspnet,Cho->Lee,54,60.824,8.825,60.824,8.825,60.824,8.825,0.216,0.176,59.614000000000004,58.404,0.192
StdMI+DatasetEA+SubjectEA+SourceWeightTau0.5+cspnet,Lee->Cho,52,58.404,8.497,58.404,8.497,58.404,8.497,0.168,0.17,59.614000000000004,58.404,0.192
StdMI+DatasetEA+SubjectEA+SourceWeightTau1.0+cspnet,Cho->Lee,54,60.954,8.685,60.954,8.685,60.954,8.685,0.219,0.174,59.5835,58.213,0.1915
StdMI+DatasetEA+SubjectEA+SourceWeightTau1.0+cspnet,Lee->Cho,52,58.213,8.929,58.213,8.929,58.213,8.929,0.164,0.179,59.5835,58.213,0.1915
StdMI+DatasetEA+SubjectEA+adabn+con+PseudoLabel0.85,Cho->Lee,54,61.852,9.339,61.852,9.339,61.852,9.339,0.237,0.187,59.382,56.912,0.1875
StdMI+DatasetEA+SubjectEA+adabn+con+PseudoLabel0.85,Lee->Cho,52,56.912,7.113,56.912,7.113,56.912,7.113,0.138,0.142,59.382,56.912,0.1875
StdMI+DatasetEA+SubjectEA+adabn+con+PseudoLabel0.85+AdaBN_eval,Cho->Lee,54,62.083,9.303,62.083,9.303,62.083,9.303,0.242,0.186,59.2915,56.5,0.186
StdMI+DatasetEA+SubjectEA+adabn+con+PseudoLabel0.85+AdaBN_eval,Lee->Cho,52,56.5,7.199,56.5,7.199,56.5,7.199,0.13,0.144,59.2915,56.5,0.186
StdMI+DatasetEA+SubjectEA+PseudoLabel0.85+cspnet,Cho->Lee,54,61.852,9.339,61.852,9.339,61.852,9.339,0.237,0.187,59.0875,56.323,0.1815
StdMI+DatasetEA+SubjectEA+PseudoLabel0.85+cspnet,Lee->Cho,52,56.323,7.288,56.323,7.288,56.323,7.288,0.126,0.146,59.0875,56.323,0.1815
EA+AdaBN+Con+AdaBN_eval,Cho->Lee,54,59.796,8.37,59.796,8.37,59.796,8.37,0.196,0.167,58.4915,57.187,0.16999999999999998
EA+AdaBN+Con+AdaBN_eval,Lee->Cho,52,57.187,7.583,57.187,7.583,57.187,7.583,0.144,0.152,58.4915,57.187,0.16999999999999998
EA+TENT+TENT_eval,Cho->Lee,54,59.796,8.145,59.796,8.145,59.796,8.145,0.196,0.163,57.943,56.09,0.159
EA+TENT+TENT_eval,Lee->Cho,52,56.09,6.657,56.09,6.657,56.09,6.657,0.122,0.133,57.943,56.09,0.159
GaussianOT+SubjectEA+CSP-LDA,Cho->Lee,54,54.713,7.025,54.713,7.025,54.713,7.025,0.094,0.141,57.706500000000005,54.713,0.154
GaussianOT+SubjectEA+CSP-LDA,Lee->Cho,52,60.7,10.25,60.7,10.25,60.7,10.25,0.214,0.205,57.706500000000005,54.713,0.154
PhysioNetPivot+CSP-LDA,Cho->Lee,54,55.028,7.355,55.028,7.355,55.028,7.355,0.101,0.147,56.909,55.028,0.1385
PhysioNetPivot+CSP-LDA,Lee->Cho,52,58.79,10.192,58.79,10.192,58.79,10.192,0.176,0.204,56.909,55.028,0.1385
GaussianOT+CSP-LDA,Cho->Lee,54,54.852,7.331,54.852,7.331,54.852,7.331,0.097,0.147,56.733,54.852,0.1345
GaussianOT+CSP-LDA,Lee->Cho,52,58.614,10.063,58.614,10.063,58.614,10.063,0.172,0.201,56.733,54.852,0.1345
StdMI+DatasetEA+SubjectEA+PseudoLabel0.90+cspnet,Cho->Lee,54,61.528,9.466,61.528,9.466,61.528,9.466,0.231,0.189,56.5075,51.487,0.1305
StdMI+DatasetEA+SubjectEA+PseudoLabel0.90+cspnet,Lee->Cho,52,51.487,2.899,51.487,2.899,51.487,2.899,0.03,0.058,56.5075,51.487,0.1305
StdMI+EA+CSP-LDA,Cho->Lee,54,52.87,5.134,52.87,5.134,52.87,5.134,0.057,0.103,56.0515,52.87,0.121
StdMI+EA+CSP-LDA,Lee->Cho,52,59.233,10.112,59.233,10.112,59.233,10.112,0.185,0.202,56.0515,52.87,0.121
EA+AdaBN+Con,Cho->Lee,54,53.685,6.135,53.685,6.135,53.685,6.135,0.074,0.123,53.9705,53.685,0.0795
EA+AdaBN+Con,Lee->Cho,52,54.256,5.824,54.256,5.824,54.256,5.824,0.085,0.116,53.9705,53.685,0.0795
StdMI+CSP-LDA,Cho->Lee,54,55.148,6.728,55.148,6.728,55.148,6.728,0.103,0.135,53.952,52.756,0.079
StdMI+CSP-LDA,Lee->Cho,52,52.756,4.921,52.756,4.921,52.756,4.921,0.055,0.098,53.952,52.756,0.079
EA+TENT,Cho->Lee,54,53.685,6.135,53.685,6.135,53.685,6.135,0.074,0.123,53.3895,53.094,0.068
EA+TENT,Lee->Cho,52,53.094,4.035,53.094,4.035,53.094,4.035,0.062,0.081,53.3895,53.094,0.068
EA+CSPNet,Cho->Lee,54,53.685,6.135,53.685,6.135,53.685,6.135,0.074,0.123,53.1425,52.6,0.063
EA+CSPNet,Lee->Cho,52,52.6,4.075,52.6,4.075,52.6,4.075,0.052,0.081,53.1425,52.6,0.063
CSPNet baseline,Cho->Lee,54,50.019,0.135,50.019,0.135,50.019,0.135,0.0,0.003,51.3585,50.019,0.027
CSPNet baseline,Lee->Cho,52,52.698,4.246,52.698,4.246,52.698,4.246,0.054,0.085,51.3585,50.019,0.027
contrastive,Cho->Lee,54,50.019,0.135,50.019,0.135,50.019,0.135,0.0,0.003,51.3585,50.019,0.027
contrastive,Lee->Cho,52,52.698,4.246,52.698,4.246,52.698,4.246,0.054,0.085,51.3585,50.019,0.027
cspnet,Cho->Lee,54,50.019,0.135,50.019,0.135,50.019,0.135,0.0,0.003,51.3585,50.019,0.027
cspnet,Lee->Cho,52,52.698,4.246,52.698,4.246,52.698,4.246,0.054,0.085,51.3585,50.019,0.027
